slot_start_utc,slot_end_utc,activo,ventana_min,strategy,decision,outcome_real,acierto,pnl_neto,prob_yes_modelo,edge_neto,drift_60min,drift_15min,sigma_h,pct_spot_vs_ref,delta_ratio
2026-03-27T00:00:00+00:00,2026-03-27T00:05:00+00:00,BTC,5,UPDOWN_GBM,BUY_NO,YES,0,-0.5,0.4272,0.0328,-0.2881,-0.0697,0.002374,-0.0064,
2026-03-27T00:00:00+00:00,2026-03-27T00:05:00+00:00,ETH,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.7528,0.2128,-0.3984,0.0757,0.002404,0.0491,
2026-03-27T00:00:00+00:00,2026-03-27T00:05:00+00:00,SOL,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.6621,0.1221,-0.5178,0.2778,0.003488,0.0463,
2026-03-27T00:00:00+00:00,2026-03-27T00:05:00+00:00,BNB,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.6645,0.1245,-0.2729,-0.248,0.002486,0.0318,
2026-03-27T00:10:00+00:00,2026-03-27T00:15:00+00:00,ETH,5,UPDOWN_GBM,BUY_YES,NO,0,-0.5,0.5713,0.0313,0.1337,1.3221,0.003714,0.015,
2026-03-27T00:10:00+00:00,2026-03-27T00:15:00+00:00,XRP,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.6724,0.1324,0.1028,0.5878,0.003331,0.0367,
2026-03-27T00:10:00+00:00,2026-03-27T00:15:00+00:00,DOGE,5,UPDOWN_GBM,BUY_NO,NO,1,0.48,0.3616,0.0984,0.1305,0.0869,0.004509,-0.0434,
2026-03-27T00:10:00+00:00,2026-03-27T00:15:00+00:00,BNB,5,UPDOWN_GBM,BUY_NO,NO,1,0.48,0.3239,0.1361,0.0079,0.0381,0.002951,-0.0349,
2026-03-27T00:15:00+00:00,2026-03-27T00:20:00+00:00,BTC,5,UPDOWN_GBM,BUY_NO,NO,1,0.48,0.3615,0.0985,0.1154,0.8203,0.003177,-0.031,
2026-03-27T00:15:00+00:00,2026-03-27T00:20:00+00:00,ETH,5,UPDOWN_GBM,BUY_NO,NO,1,0.48,0.3247,0.1353,0.1202,1.1205,0.003705,-0.0455,
2026-03-27T00:15:00+00:00,2026-03-27T00:20:00+00:00,XRP,5,UPDOWN_GBM,BUY_NO,NO,1,0.48,0.3387,0.1213,0.0955,0.4408,0.003267,-0.0367,
2026-03-27T00:15:00+00:00,2026-03-27T00:20:00+00:00,BNB,5,UPDOWN_GBM,BUY_NO,NO,1,0.48,0.3701,0.0899,-0.0604,0.2354,0.002903,-0.0238,
2026-03-27T00:20:00+00:00,2026-03-27T00:25:00+00:00,BTC,5,UPDOWN_GBM,BUY_YES,NO,0,-0.5,0.668,0.128,0.1365,0.3223,0.002921,0.0305,
2026-03-27T00:20:00+00:00,2026-03-27T00:25:00+00:00,ETH,5,UPDOWN_GBM,BUY_YES,NO,0,-0.5,0.6488,0.1088,0.0819,0.3643,0.003769,0.0358,
2026-03-27T00:20:00+00:00,2026-03-27T00:25:00+00:00,SOL,5,UPDOWN_GBM,BUY_YES,NO,0,-0.5,0.5685,0.0285,-0.1037,0.1847,0.004796,0.0231,
2026-03-27T00:20:00+00:00,2026-03-27T00:25:00+00:00,XRP,5,UPDOWN_GBM,BUY_YES,NO,0,-0.5,0.6718,0.1318,0.0294,-0.2054,0.003238,0.0367,
2026-03-27T00:20:00+00:00,2026-03-27T00:25:00+00:00,DOGE,5,UPDOWN_GBM,BUY_YES,NO,0,-0.5,0.6752,0.1352,0.1196,-0.3472,0.003873,0.0435,
2026-03-27T00:20:00+00:00,2026-03-27T00:25:00+00:00,BNB,5,UPDOWN_GBM,BUY_YES,NO,0,-0.5,0.6952,0.1552,0.0127,0.1908,0.002669,0.035,
2026-03-27T00:25:00+00:00,2026-03-27T00:30:00+00:00,ETH,5,UPDOWN_GBM,BUY_YES,NO,0,-0.5,0.5462,0.0062,0.1418,-0.9385,0.0058,0.015,
2026-03-27T00:25:00+00:00,2026-03-27T00:30:00+00:00,XRP,5,UPDOWN_GBM,BUY_NO,NO,1,0.48,0.4281,0.0319,0.1103,-0.6163,0.004321,-0.022,
2026-03-27T00:30:00+00:00,2026-03-27T00:35:00+00:00,ETH,5,UPDOWN_GBM,BUY_YES,NO,0,-0.5,0.5726,0.0326,-0.0087,-0.9489,0.005515,0.0262,
2026-03-27T00:30:00+00:00,2026-03-27T00:35:00+00:00,SOL,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.6199,0.0799,-0.0116,-1.4769,0.005856,0.0463,
2026-03-27T00:30:00+00:00,2026-03-27T00:35:00+00:00,XRP,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.586,0.046,0.0294,-0.7045,0.004019,0.0221,
2026-03-27T00:30:00+00:00,2026-03-27T00:35:00+00:00,DOGE,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.6021,0.0621,-0.0217,-0.3912,0.004829,0.0326,
2026-03-27T00:30:00+00:00,2026-03-27T00:35:00+00:00,BNB,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.6924,0.1524,0.0637,-0.2989,0.003761,0.0478,
2026-03-27T00:35:00+00:00,2026-03-27T00:40:00+00:00,BTC,5,UPDOWN_GBM,BUY_NO,YES,0,-0.5,0.4055,0.0545,-0.1614,-1.6144,0.004782,-0.0268,
2026-03-27T00:35:00+00:00,2026-03-27T00:40:00+00:00,XRP,5,UPDOWN_GBM,BUY_NO,YES,0,-0.5,0.414,0.046,-0.0515,-0.8807,0.004087,-0.0221,
2026-03-27T00:35:00+00:00,2026-03-27T00:40:00+00:00,DOGE,5,UPDOWN_GBM,BUY_NO,YES,0,-0.5,0.3933,0.0667,-0.0217,-0.6515,0.004721,-0.0326,
2026-03-27T00:35:00+00:00,2026-03-27T00:40:00+00:00,BNB,5,UPDOWN_GBM,BUY_NO,YES,0,-0.5,0.378,0.082,-0.0875,-0.7246,0.004148,-0.0318,
2026-03-27T00:40:00+00:00,2026-03-27T00:45:00+00:00,BTC,5,UPDOWN_GBM,BUY_YES,NO,0,-0.5,0.5473,0.0073,0.0282,-0.1525,0.00655,0.0196,
2026-03-27T00:40:00+00:00,2026-03-27T00:45:00+00:00,ETH,5,UPDOWN_GBM,BUY_NO,NO,1,0.48,0.4273,0.0327,0.2491,0.3627,0.007623,-0.0402,
2026-03-27T00:40:00+00:00,2026-03-27T00:45:00+00:00,SOL,5,UPDOWN_GBM,BUY_NO,NO,1,0.48,0.4564,0.0036,0.1158,0.2778,0.007493,-0.0231,
2026-03-27T00:40:00+00:00,2026-03-27T00:45:00+00:00,XRP,5,UPDOWN_GBM,BUY_NO,NO,1,0.48,0.4,0.06,0.0883,-0.0882,0.005393,-0.0367,
2026-03-27T00:40:00+00:00,2026-03-27T00:45:00+00:00,BNB,5,UPDOWN_GBM,BUY_NO,NO,1,0.48,0.4532,0.0068,0.0302,0.0191,0.005072,-0.0159,
2026-03-27T00:45:00+00:00,2026-03-27T00:50:00+00:00,ETH,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.6123,0.0723,0.0908,0.1184,0.006197,0.0442,
2026-03-27T00:45:00+00:00,2026-03-27T00:50:00+00:00,SOL,5,UPDOWN_GBM,BUY_YES,YES,1,0.48,0.5848,0.0448,-0.081,-0.139,0.006038,0.0348,
2026-03-27T00:45:00+00:00,2026-03-27T00:50:00+00:00,DOGE,5,UPDOWN_GBM,BUY_NO,YES,0,-0.5,0.4148,0.0452,-0.2066,-0.6526,0.00454,-0.0218,
