date,ts,total_real,modelo,tracking_error,delta_dia,alerta
2026-07-08,2026-07-08T05:50:01Z,23.4796,26.0562,-2.5766,,0
2026-07-09,2026-07-09T05:50:02Z,35.6087,33.5480,2.0607,4.6373,1
2026-07-10,2026-07-10T05:50:01Z,27.0964,22.1029,4.9935,2.9328,1
2026-07-11,2026-07-11T15:59:21Z,21.0888,18.7378,2.3510,-2.6425,1
2026-07-12,2026-07-12T05:50:01Z,15.2388,12.7930,2.4458,0.0948,0
2026-07-13,2026-07-13T05:50:02Z,14.4352,11.9894,2.4458,0.0000,0
2026-07-14,2026-07-14T05:50:02Z,10.3934,7.9474,2.4460,0.0002,0
2026-07-15,2026-07-15T05:50:02Z,5.9883,3.5425,2.4458,-0.0002,0
2026-07-16,2026-07-16T11:12:24Z,4.0292,1.5161,2.5131,0.0673,0
2026-07-17,2026-07-17T05:50:01Z,2.9410,0.4279,2.5131,0.0000,0
2026-07-18,2026-07-18T05:50:01Z,0.7763,-1.7368,2.5131,0.0000,0
2026-07-19,2026-07-19T05:50:01Z,0.7763,-1.7368,2.5131,0.0000,0
2026-07-20,2026-07-20T05:50:01Z,0.7763,-1.7368,2.5131,0.0000,0
2026-07-21,2026-07-21T05:50:01Z,0.7763,-1.7368,2.5131,0.0000,0
2026-07-22,2026-07-22T05:50:02Z,24.4555,22.6697,1.7858,-0.7273,0
2026-07-23,2026-07-23T05:50:02Z,29.1661,27.2688,1.8973,0.1115,0
2026-07-24,2026-07-24T05:50:02Z,26.9091,24.9750,1.9341,0.0368,0
2026-07-25,2026-07-25T05:50:01Z,24.3963,22.4607,1.9356,0.0015,0
2026-07-26,2026-07-26T05:50:02Z,26.9425,25.0065,1.9360,0.0004,0
2026-07-27,2026-07-27T05:50:01Z,26.5738,24.6408,1.9330,-0.0030,0
2026-07-28,2026-07-28T05:50:02Z,22.2665,20.3335,1.9330,0.0000,0
2026-07-30,2026-07-30T05:50:02Z,17.2627,13.7793,3.4834,1.5504,1
2026-07-31,2026-07-31T05:50:02Z,17.1634,14.8530,2.3104,-1.1730,1
2026-08-01,2026-08-01T05:50:02Z,19.0895,16.7791,2.3104,0.0000,0
2026-08-02,2026-08-02T05:50:03Z,22.1536,19.8194,2.3342,0.0238,0
2026-08-03,2026-08-03T05:50:03Z,19.5081,17.1739,2.3342,-0.0000,0
2026-08-04,2026-08-04T05:50:02Z,21.8282,19.4940,2.3342,-0.0000,0
2026-08-05,2026-08-05T05:50:03Z,14.6508,12.3166,2.3342,-0.0000,0
2026-08-06,2026-08-06T05:50:03Z,9.7061,7.3719,2.3342,0.0000,0
2026-08-07,2026-08-07T05:50:04Z,10.0246,7.6903,2.3343,0.0001,0
2026-08-08,2026-08-08T05:50:03Z,12.3031,9.9687,2.3344,0.0001,0
2026-08-09,2026-08-09T05:50:03Z,10.4381,8.1037,2.3344,0.0000,0
2026-08-10,2026-08-10T05:50:04Z,8.9759,6.6416,2.3343,-0.0001,0
2026-08-11,2026-08-11T05:50:03Z,10.3031,7.8392,2.4639,0.1296,0
2026-08-12,2026-08-12T05:50:01Z,8.8075,6.4830,2.3245,-0.1394,0
2026-08-13,2026-08-13T05:50:02Z,7.0771,4.7525,2.3246,0.0001,0
2026-08-14,2026-08-14T05:50:02Z,14.8918,12.5672,2.3246,0.0000,0
2026-08-15,2026-08-15T05:50:02Z,16.1106,13.7859,2.3247,0.0001,0
2026-08-16,2026-08-16T05:50:02Z,16.1106,13.7859,2.3247,0.0000,0
2026-08-17,2026-08-17T05:50:02Z,16.1106,13.7859,2.3247,0.0000,0
2026-08-18,2026-08-18T05:50:01Z,13.9291,11.6043,2.3248,0.0001,0
2026-08-19,2026-08-19T05:50:01Z,11.5250,9.2002,2.3248,0.0000,0
2026-08-20,2026-08-20T05:50:02Z,10.3492,8.0245,2.3247,-0.0001,0
2026-08-21,2026-08-21T05:50:01Z,11.3220,8.9973,2.3247,0.0000,0
2026-08-22,2026-08-22T05:50:01Z,10.2250,7.9473,2.2777,-0.0470,0
2026-08-23,2026-08-23T05:50:03Z,9.1375,6.8598,2.2777,-0.0000,0
2026-08-24,2026-08-24T05:50:02Z,8.6534,6.3757,2.2777,-0.0000,0
2026-08-25,2026-08-25T05:50:02Z,9.5429,7.1443,2.3986,0.1209,0
2026-08-27,2026-08-27T15:37:29Z,8.4930,5.9478,2.5452,0.1466,0
2026-08-28,2026-08-28T05:50:01Z,8.4930,5.9478,2.5452,-0.0000,0
2026-08-29,2026-08-29T05:50:01Z,4.3081,1.7630,2.5451,-0.0001,0
2026-08-30,2026-08-30T05:50:02Z,4.3081,1.7630,2.5451,0.0000,0
2026-08-31,2026-08-31T05:50:02Z,3.1913,0.6461,2.5452,0.0001,0
2026-09-01,2026-09-01T07:02:54Z,14.4271,12.9620,1.4651,-1.0801,1
2026-09-02,2026-09-02T05:50:01Z,11.0323,9.6260,1.4063,-0.0588,0
2026-09-03,2026-09-03T05:50:02Z,6.2448,5.9685,0.2763,-1.1300,1
2026-09-04,2026-09-04T05:50:01Z,20.5574,18.1808,2.3766,2.1003,1
2026-09-05,2026-09-05T05:50:01Z,20.5574,18.1808,2.3766,-0.0000,0
2026-09-06,2026-09-06T05:50:01Z,20.5573,18.1808,2.3765,-0.0001,0
