fecha,activo_marco,n_wallets,n_roundtrips,pnl_total,pnl_por_roundtrip,hit_rate,volumen_usd,gap_mediana_s
2026-08-06,BTC#5min,17,5026,8962.3,1.7832,0.649,88080.4,67
2026-08-06,BTC#15min,6,1729,4620.88,2.6726,0.616,49967.1,76
2026-08-06,ETH#5min,7,425,349.93,0.8234,0.633,3500.2,81
2026-08-06,SOL#5min,4,186,-278.6,-1.4978,0.344,1143.3,39
2026-08-06,ETH#15min,3,129,25.99,0.2015,0.566,200.1,44
2026-08-06,XRP#15min,2,73,-36.78,-0.5038,0.329,127.6,11
2026-08-06,XRP#5min,4,67,-42.73,-0.6377,0.328,228.3,6
2026-08-06,SOL#15min,2,67,-1.52,-0.0227,0.448,105.5,67
2026-08-06,DOGE#5min,1,1,-6.13,-6.1291,0.0,40.6,88
2026-08-07,BTC#5min,15,4947,32986.32,6.6679,0.755,123272.9,78
2026-08-07,ETH#5min,4,271,-313.68,-1.1575,0.439,1971.4,66
2026-08-07,BTC#15min,4,245,-8.72,-0.0356,0.498,511.6,61
2026-08-07,SOL#5min,3,96,-43.14,-0.4493,0.396,430.8,39
2026-08-07,SOL#15min,2,40,-35.92,-0.8979,0.375,91.7,184
2026-08-07,ETH#15min,1,39,5.05,0.1296,0.641,151.7,234
2026-08-07,XRP#15min,2,33,5.85,0.1773,0.576,107.4,220
2026-08-07,XRP#5min,3,21,6.97,0.3317,0.524,93.4,67
