market_id,ts_bloqueo,combo,pct_ballenas,n_ballenas,umbral,n_intentos,strategy,subtype,decision,precio_yes_mercado,edge_neto,ic_hist,n_hist,resuelto,outcome_real,acierto_dir,pnl_neto_hipotetico_eur,fee_est_eur,motivo_sin_match
2926674,2026-07-16T23:10:02+00:00,ETH#60m,0.125,8,0.6,12,FAVORITO_CONFIRMADO,ETH#60min,BUY_NO,0.4050,-0.0550,0.1667,82,1,NO,1,0.697,0.0177,
2935074,2026-07-17T15:03:56+00:00,ETH#60m,0.3333333333333333,12,0.6,12,FAVORITO_CONFIRMADO,ETH#60min,BUY_NO,0.4150,-0.0550,0.1667,88,1,YES,0,-1.0678,0.0178,
3194434,2026-07-29T23:48:44+00:00,SOL#15m,0.3333333333333333,3,0.6,4,GBM_LATE_15M_ESPACIO_ATR,SOL#15min,BUY_YES,0.5000,0.1843,0.1003,741,1,YES,1,1.0316,0.0184,
3199434,2026-07-30T07:24:49+00:00,ETH#15m,0.4827586206896552,29,0.6,1,FAVORITO_CONFIRMADO_15MIN_ALTACONVICCION,ETH#15min,BUY_YES,0.7000,0.0600,0.3333,34,1,YES,1,0.4346,0.0154,
3201669,2026-07-30T13:43:28+00:00,ETH#15m,0.0,46,0.6,1,FAVORITO_CONFIRMADO_15MIN_ALTACONVICCION,ETH#15min,BUY_YES,0.7400,0.0600,0.36,48,1,YES,1,0.3548,0.0141,
3201858,2026-07-30T14:23:58+00:00,ETH#15m,0.0,14,0.6,1,FAVORITO_CONFIRMADO_15MIN_ALTACONVICCION,ETH#15min,BUY_YES,0.7000,0.0600,0.3462,50,1,YES,1,0.4346,0.0154,
3202261,2026-07-30T15:58:24+00:00,ETH#15m,0.0,35,0.6,1,FAVORITO_CONFIRMADO_15MIN_ALTACONVICCION,ETH#15min,BUY_YES,0.7500,0.0600,0.3214,54,1,NO,0,-1.0638,0.0138,
3206286,2026-07-30T17:42:15+00:00,ETH#15m,0.0,37,0.6,3,FAVORITO_CONFIRMADO_15MIN_ALTACONVICCION,ETH#15min,BUY_YES,0.7000,0.0600,0.3305,57,1,YES,1,0.4346,0.0154,
3206956,2026-07-30T18:27:14+00:00,ETH#15m,0.0,24,0.6,1,FAVORITO_CONFIRMADO_15MIN_ALTACONVICCION,ETH#15min,BUY_YES,0.7000,0.0600,0.3333,58,1,YES,1,0.4346,0.0154,
3224913,2026-07-31T16:24:09+00:00,SOL#15m,0.0,9,0.6,4,GBM_LATE_15M,SOL#15min,BUY_YES,0.5050,0.1308,0.0865,1137,1,YES,1,1.0108,0.0184,
