timestamp_utc,trade_timestamp,wallet,arquetipo,activo,marco,bucket_precio,condition_id,market_slug,lado_wallet,precio_wallet,usd_trade,ratio_vs_stake_deteccion,mejor_ask_deteccion,profundidad_eur_deteccion,outcome_real,acierto,resolved_ts
2026-08-24T22:19:12+00:00,2026-08-24T22:08:38.415+00:00,0x0c7c5204404e9d5402d258fedac59c7212bae4cb,DISPERSO,BNB,5min,0.95,0xc7409d03d1a0cb28a60634b01ffa064596524d9c1598c99de34982275b4c0867,bnb-updown-5m-1787609100,Up,0.95,9.5,,,,Up,1,2026-08-25T15:36:54+00:00
2026-08-24T22:19:13+00:00,2026-08-24T22:08:41.959+00:00,0x9891ce1339d55e0a048634aa7675a62741518949,DISPERSO,BNB,5min,0.90,0xc7409d03d1a0cb28a60634b01ffa064596524d9c1598c99de34982275b4c0867,bnb-updown-5m-1787609100,Up,0.9399999867605169,1.42,,,,Up,1,2026-08-25T15:36:54+00:00
2026-08-24T22:19:14+00:00,2026-08-24T22:08:56.337+00:00,0x9919a655c2694462950d9ca5a0307202740a0a5d,SNIPER,ETH,5min,0.95,0x1146ff109028462da0fab3f8f68d9e0a88b78765f074c6cb22ebf0f9a832d9f1,eth-updown-5m-1787609100,Up,0.969999998350334,5.88,,,,Up,1,2026-08-25T15:39:35+00:00
2026-08-24T22:19:15+00:00,2026-08-24T22:08:56.414+00:00,0x9919a655c2694462950d9ca5a0307202740a0a5d,SNIPER,BTC,5min,0.95,0x849e22d323377650c940b8dc441047814efe5c847322ad629b91afc5344b9c09,btc-updown-5m-1787609100,Up,0.95,3.84,,,,Up,1,2026-08-25T15:37:56+00:00
2026-08-24T22:19:16+00:00,2026-08-24T22:09:00.854+00:00,0xbeb4400ab92eb72bb54086569c2dbc0ad22dda45,SNIPER,ETH,5min,0.95,0x1146ff109028462da0fab3f8f68d9e0a88b78765f074c6cb22ebf0f9a832d9f1,eth-updown-5m-1787609100,Up,0.9857714285714286,6.9004,,,,Up,1,2026-08-25T15:39:35+00:00
2026-08-24T22:19:17+00:00,2026-08-24T22:09:09.446+00:00,0x6b97d226596699d3fe9d64bba02cc52a9f5dc6a3,SNIPER,SOL,5min,0.50,0x4f9722dca70ad507d9b1ab61f60986809c8d9958065b8a2eaaecae3c58bedafc,sol-updown-5m-1787609400,Down,0.52,5.9956,,,,Down,1,2026-08-25T15:40:51+00:00
2026-08-24T22:19:18+00:00,2026-08-24T22:09:09.915+00:00,0x32ed2e546b187ca15e2841edc82b22c713cf8ec3,SNIPER,SOL,5min,0.05,0xb4ac19d86dcd9ac647512c24ccde6c051c0ccff8c41b23e8e38ababd5f0d4972,sol-updown-5m-1787609100,Down,0.0620000017822009,1.322,,,,Up,0,2026-08-25T15:40:51+00:00
2026-08-24T22:19:19+00:00,2026-08-24T22:09:14.322+00:00,0xc2ad03f79ca3f3c17d8c7de2612ce0c89b7d40ed,DISPERSO,SOL,5min,0.00,0xb4ac19d86dcd9ac647512c24ccde6c051c0ccff8c41b23e8e38ababd5f0d4972,sol-updown-5m-1787609100,Down,0.022,2.2,,,,Up,0,2026-08-25T15:40:51+00:00
2026-08-24T22:19:19+00:00,2026-08-24T22:09:14.332+00:00,0xe8d68fd271ad704a55f9bb0e4fc6276ee9adc964,DISPERSO,ETH,5min,0.45,0x304749669ebbf4ca398806dcaa629bab2dfad7bbb358ea2024a78a4b859740f8,eth-updown-5m-1787609400,Down,0.4837593984962406,6.434,,,,Down,1,2026-08-25T15:39:35+00:00
2026-08-24T22:19:20+00:00,2026-08-24T22:09:16.361+00:00,0x80eff2fa787245085025ac061febd6d5f578e019,DISPERSO,BTC,5min,0.45,0x69382b8d75b80902ba7774c0bf92c7a74485320c0c61d99e415d64253b67eb92,btc-updown-5m-1787609400,Down,0.49,3.8906,,,,Down,1,2026-08-25T15:37:56+00:00
2026-08-24T22:19:21+00:00,2026-08-24T22:09:16.374+00:00,0xdc3f46236700a2c7e89e2b952a123cd757ad4fa0,DISPERSO,BTC,5min,0.45,0x69382b8d75b80902ba7774c0bf92c7a74485320c0c61d99e415d64253b67eb92,btc-updown-5m-1787609400,Down,0.4899999981124807,25.96,,,,Down,1,2026-08-25T15:37:56+00:00
2026-08-24T22:19:22+00:00,2026-08-24T22:09:22.140+00:00,0xeebde7a0e019a63e6b476eb425505b7b3e6eba30,DISPERSO,DOGE,5min,0.90,0x21ba567303dbd12d0512782c395123993aeb5760f63c741ba8186239db5852c0,doge-updown-5m-1787609100,Down,0.928984337921215,19.5737,,,,Down,1,2026-08-25T15:38:38+00:00
2026-08-24T22:19:23+00:00,2026-08-24T22:09:26.024+00:00,0xbeb4400ab92eb72bb54086569c2dbc0ad22dda45,SNIPER,SOL,5min,0.85,0xb4ac19d86dcd9ac647512c24ccde6c051c0ccff8c41b23e8e38ababd5f0d4972,sol-updown-5m-1787609100,Up,0.87,4.35,,,,Up,1,2026-08-25T15:40:51+00:00
2026-08-24T22:19:24+00:00,2026-08-24T22:09:26.024+00:00,0xdc3f46236700a2c7e89e2b952a123cd757ad4fa0,DISPERSO,SOL,5min,0.45,0x4f9722dca70ad507d9b1ab61f60986809c8d9958065b8a2eaaecae3c58bedafc,sol-updown-5m-1787609400,Up,0.49,2.45,,,,Down,0,2026-08-25T15:40:51+00:00
