ts_deteccion_utc,ts_prediccion_utc,market_id,strategy,activo,decision,precio_yes_mercado,mejor_ask_deteccion,profundidad_eur_deteccion,ratio_vs_stake_deteccion
2026-08-25T08:25:13+00:00,2026-08-25T08:25:04+00:00,3835996,FAVORITO_CONFIRMADO_5MIN_ALTACONVICCION,BNB,BUY_YES,0.7,0.82,0.0,0.0
2026-08-25T08:31:01+00:00,2026-08-25T08:30:51+00:00,3836011,FAVORITO_CONFIRMADO_5MIN_ALTACONVICCION,BNB,BUY_YES,0.77,0.81,0.0,0.0
2026-08-25T08:35:15+00:00,2026-08-25T08:35:04+00:00,3836124,FAVORITO_CONFIRMADO_5MIN_ALTACONVICCION,BNB,BUY_YES,0.7,0.77,0.0,0.0
2026-08-25T08:40:08+00:00,2026-08-25T08:40:03+00:00,3836321,FAVORITO_CONFIRMADO,ETH,BUY_NO,0.33,0.72,0.0,0.0
2026-08-25T08:45:19+00:00,2026-08-25T08:45:03+00:00,3836380,FAVORITO_CONFIRMADO_5MIN_ALTACONVICCION,BNB,BUY_YES,0.7,0.57,72.35,68.9
2026-08-25T08:50:04+00:00,2026-08-25T08:50:04+00:00,3836741,FAVORITO_CONFIRMADO_5MIN_ALTACONVICCION,BNB,BUY_YES,0.7,0.68,28.78,27.4
2026-08-25T08:50:35+00:00,2026-08-25T08:50:26+00:00,3836735,FAVORITO_CONFIRMADO,ETH,BUY_NO,0.44,0.61,0.0,0.0
2026-08-25T08:51:05+00:00,2026-08-25T08:50:50+00:00,3836379,FAVORITO_CONFIRMADO,ETH,BUY_NO,0.135,0.93,0.0,0.0
2026-08-25T09:00:22+00:00,2026-08-25T09:00:14+00:00,3837008,FAVORITO_CONFIRMADO,ETH,BUY_NO,0.42,0.68,0.0,0.0
2026-08-25T09:01:38+00:00,2026-08-25T09:01:25+00:00,3799413,FAVORITO_CONFIRMADO,ETH,BUY_NO,0.45,0.54,97.1,92.5
2026-08-25T09:02:53+00:00,2026-08-25T09:02:41+00:00,3837010,FAVORITO_CONFIRMADO,ETH,BUY_NO,0.425,0.77,0.0,0.0
2026-08-25T09:10:10+00:00,2026-08-25T09:10:03+00:00,3837091,FAVORITO_CONFIRMADO_5MIN_ALTACONVICCION,BNB,BUY_YES,0.71,0.82,0.0,0.0
2026-08-25T09:15:11+00:00,2026-08-25T09:15:04+00:00,3837437,FAVORITO_CONFIRMADO,ETH,BUY_NO,0.38,0.71,0.0,0.0
2026-08-25T09:16:27+00:00,2026-08-25T09:15:55+00:00,3837427,FAVORITO_CONFIRMADO,ETH,BUY_NO,0.395,0.71,0.0,0.0
2026-08-25T09:18:13+00:00,2026-08-25T09:18:12+00:00,3837430,FAVORITO_CONFIRMADO_5MIN_ALTACONVICCION,BNB,BUY_YES,0.7,0.69,58.95,56.1
2026-08-25T09:20:17+00:00,2026-08-25T09:20:03+00:00,3837769,FAVORITO_CONFIRMADO,ETH,BUY_NO,0.43,0.61,0.0,0.0
2026-08-25T09:22:20+00:00,2026-08-25T09:22:15+00:00,3837770,FAVORITO_CONFIRMADO_5MIN_ALTACONVICCION,BNB,BUY_YES,0.73,0.79,0.0,0.0
