market_id,strategy,subtype,direction,ts_exec,outcome_real,resultado_nuestro,n_validadas_lado_ganador,n_validadas_lado_perdedor,lag_min_ganador_s,lags_ganador_s
2739778,UPDOWN_GBM,ETH#15min,BUY_NO,2026-07-01T06:30:37+00:00,NO,GANANCIA,29,32,1.0,258.0;253.0;250.0;244.0;244.0;243.0;243.0;193.0;193.0;187.0;187.0;186.0;186.0;73.0;73.0;1.0;-12.0;-12.0;-12.0;-12.0;-14.0;-14.0;-14.0;-20.0;-20.0;-21.0;-21.0;-21.0;-26.0
2740253,UPDOWN_GBM,ETH#15min,BUY_NO,2026-07-01T06:39:41+00:00,NO,GANANCIA,0,0,,
2740589,UPDOWN_GBM,ETH#15min,BUY_NO,2026-07-01T08:39:06+00:00,YES,PERDIDA,38,40,4.0,212.0;103.0;64.0;62.0;38.0;-4.0;-5.0;-17.0;-19.0;-22.0;-44.0;-46.0;-46.0;-50.0;-122.0;-133.0;-134.0;-136.0;-140.0;-158.0;-160.0;-173.0;-176.0;-176.0;-239.0;-259.0;-265.0;-266.0;-283.0;-289.0;-290.0;-292.0;-293.0;-293.0;-295.0;-296.0;-296.0;-298.0
2743533,UPDOWN_GBM,ETH#15min,BUY_NO,2026-07-01T13:00:17+00:00,YES,PERDIDA,34,20,74.0,227.0;225.0;221.0;219.0;216.0;213.0;212.0;212.0;210.0;210.0;188.0;131.0;131.0;120.0;116.0;101.0;99.0;96.0;95.0;93.0;93.0;93.0;92.0;92.0;90.0;90.0;90.0;89.0;89.0;87.0;84.0;83.0;78.0;74.0
2744047,UPDOWN_GBM,ETH#15min,BUY_YES,2026-07-01T15:15:39+00:00,YES,GANANCIA,16,69,22.0,283.0;278.0;275.0;275.0;274.0;274.0;274.0;272.0;265.0;265.0;217.0;-22.0;-22.0;-22.0;-25.0;-26.0
2749370,UPDOWN_GBM,ETH#15min,BUY_NO,2026-07-01T23:28:05+00:00,NO,GANANCIA,0,0,,
2753589,UPDOWN_GBM,ETH#15min,BUY_NO,2026-07-02T06:30:39+00:00,YES,PERDIDA,36,8,14.0,200.0;200.0;170.0;170.0;170.0;169.0;164.0;119.0;119.0;118.0;118.0;116.0;116.0;115.0;115.0;113.0;97.0;94.0;92.0;89.0;88.0;86.0;83.0;82.0;80.0;79.0;76.0;76.0;76.0;74.0;74.0;74.0;73.0;73.0;-14.0;-19.0
2754044,UPDOWN_GBM,ETH#15min,BUY_NO,2026-07-02T07:10:11+00:00,NO,GANANCIA,40,40,54.0,216.0;177.0;176.0;176.0;168.0;161.0;146.0;140.0;99.0;89.0;72.0;54.0;54.0;-67.0;-75.0;-88.0;-88.0;-97.0;-114.0;-127.0;-150.0;-178.0;-202.0;-202.0;-210.0;-210.0;-229.0;-232.0;-238.0;-256.0;-265.0;-271.0;-280.0;-282.0;-283.0;-283.0;-285.0;-285.0;-291.0;-295.0
2756570,UPDOWN_GBM,ETH#15min,BUY_NO,2026-07-02T14:27:38+00:00,NO,GANANCIA,0,0,,
2757714,UPDOWN_GBM,ETH#15min,BUY_NO,2026-07-02T15:12:27+00:00,YES,PERDIDA,5,11,202.0,280.0;214.0;214.0;202.0;202.0
