timestamp_utc,n_estrategias_activas,n_total_ops,edge_pred_ponderado,edge_real_ponderado,gap_calibracion,kelly_optimo_ponderado
2026-07-08T15:45:50+00:00,15,5526,-0.0092,0.1252,0.1344,0.1177
2026-07-08T16:01:18+00:00,15,5556,-0.0093,0.1261,0.1354,0.1176
2026-07-08T16:16:40+00:00,15,5570,-0.0091,0.1262,0.1352,0.1173
2026-07-08T16:32:47+00:00,15,5577,-0.0089,0.1271,0.136,0.1178
2026-07-08T16:47:47+00:00,15,5591,-0.009,0.127,0.136,0.1173
2026-07-08T17:04:02+00:00,15,5601,-0.009,0.1265,0.1354,0.1171
2026-07-08T17:20:20+00:00,15,5610,-0.009,0.1273,0.1363,0.1176
2026-07-08T17:36:43+00:00,15,5616,-0.0089,0.128,0.1369,0.1182
2026-07-08T17:52:58+00:00,15,5627,-0.0087,0.127,0.1357,0.1171
2026-07-08T18:09:09+00:00,15,5638,-0.0089,0.1285,0.1374,0.1176
2026-07-08T18:25:21+00:00,15,5642,-0.0089,0.1282,0.1371,0.1176
2026-07-08T18:40:45+00:00,15,5647,-0.0088,0.1274,0.1363,0.1169
2026-07-08T18:56:42+00:00,15,5654,-0.0089,0.1281,0.137,0.1174
2026-07-08T19:13:05+00:00,15,5665,-0.0089,0.1274,0.1363,0.117
2026-07-08T19:28:32+00:00,15,5676,-0.0089,0.1273,0.1362,0.1169
2026-07-08T19:44:47+00:00,15,5685,-0.0089,0.1273,0.1361,0.117
2026-07-08T20:00:54+00:00,15,5698,-0.0088,0.1261,0.1349,0.116
2026-07-08T20:17:04+00:00,15,5708,-0.0087,0.1248,0.1335,0.1153
2026-07-08T20:33:15+00:00,15,5719,-0.0085,0.124,0.1325,0.1152
2026-07-08T20:49:17+00:00,15,5725,-0.0085,0.1239,0.1325,0.1152
2026-07-08T21:05:24+00:00,15,5734,-0.0083,0.1237,0.132,0.1149
2026-07-08T21:21:22+00:00,15,5740,-0.0084,0.1227,0.1311,0.114
