ts_deteccion_utc,market_id,activo,restante_s,py,profundidad_ratio,profundidad_ask
2026-08-19T09:01:21+00:00,3659511,BTC,3519.1,0.59,371.5,0.59
2026-08-19T10:56:22+00:00,3661264,BTC,218.3,0.56,32.6,0.56
2026-08-19T11:05:06+00:00,3664374,BTC,3293.8,0.78,858.7,0.78
2026-08-19T12:33:19+00:00,3664692,BTC,1601.0,0.58,590.1,0.58
2026-08-19T13:11:41+00:00,3667706,BTC,2903.1,0.59,1405.9,0.59
2026-08-19T14:02:32+00:00,3669184,BTC,3448.0,0.55,258.8,0.55
2026-08-19T15:04:23+00:00,3669877,BTC,3340.3,0.6,218.3,0.6
2026-08-19T15:15:06+00:00,3669879,SOL,2695.1,0.79,257.4,0.79
2026-08-19T16:03:11+00:00,3670167,BTC,3416.0,0.55,115.2,0.55
2026-08-19T16:46:18+00:00,3670193,SOL,822.2,0.69,330.1,0.61
2026-08-19T18:16:02+00:00,3672093,BTC,2638.2,0.56,310.0,0.56
2026-08-19T19:06:42+00:00,3679208,BTC,3197.7,0.55,280.9,0.55
2026-08-19T20:03:47+00:00,3681976,BTC,3373.1,0.55,492.8,0.55
2026-08-19T21:03:58+00:00,3682650,BTC,3361.7,0.55,586.2,0.55
2026-08-19T21:20:46+00:00,3682652,SOL,2354.0,0.99,2388.2,0.99
2026-08-19T23:05:52+00:00,3684971,BTC,3248.1,0.56,735.8,0.56
2026-08-20T00:01:38+00:00,3685735,BTC,3501.3,0.61,1130.4,0.61
2026-08-20T00:51:04+00:00,3685737,SOL,535.6,0.84,108.9,0.84
2026-08-20T01:01:06+00:00,3686704,BTC,3533.4,0.58,65.5,0.58
2026-08-20T02:02:23+00:00,3687223,BTC,3456.5,0.55,292.7,0.55
2026-08-20T03:45:55+00:00,3687504,BTC,845.3,0.66,1393.3,0.64
2026-08-20T04:05:14+00:00,3688160,BTC,3285.8,0.64,985.5,0.64
2026-08-20T05:06:19+00:00,3689252,BTC,3220.2,0.56,590.0,0.56
2026-08-20T06:11:59+00:00,3691273,BTC,2880.6,0.55,691.1,0.55
2026-08-20T07:05:22+00:00,3691841,BTC,3278.9,0.55,110.6,0.55
2026-08-20T07:34:36+00:00,3691846,SOL,1524.5,0.87,37.4,0.87
2026-08-20T08:03:42+00:00,3692238,BTC,3378.0,0.58,777.2,0.58
2026-08-20T09:03:33+00:00,3692595,BTC,3386.7,0.55,82.1,0.54
2026-08-20T09:14:27+00:00,3692595,BTC,2732.4,0.79,1014.0,0.79
2026-08-20T09:38:03+00:00,3692595,BTC,1316.7,0.89,2805.2,0.88
2026-08-20T10:02:11+00:00,3693280,BTC,3469.0,0.56,432.6,0.55
2026-08-20T11:02:16+00:00,3693750,BTC,3464.2,0.57,504.0,0.58
2026-08-20T12:31:20+00:00,3695166,BTC,1721.1,0.56,865.8,0.56
2026-08-20T13:04:34+00:00,3696470,BTC,3325.6,0.55,666.7,0.55
2026-08-20T14:02:24+00:00,3697258,BTC,3455.8,0.59,769.7,0.59
2026-08-20T15:01:29+00:00,3698258,BTC,3511.0,0.61,355.8,0.61
2026-08-20T16:40:32+00:00,3701188,BTC,1168.7,0.55,270.8,0.55
2026-08-20T17:31:48+00:00,3702265,BTC,1695.8,0.55,1230.0,0.49
2026-08-20T17:56:54+00:00,3702267,SOL,186.3,0.64,100.6,0.62
2026-08-20T19:06:38+00:00,3706897,BTC,3202.1,0.55,159.5,0.55
2026-08-20T19:35:22+00:00,3706897,BTC,1477.7,0.8,2078.4,0.8
2026-08-20T20:04:14+00:00,3709101,BTC,3346.6,0.55,344.4,0.55
2026-08-20T21:14:43+00:00,3709941,BTC,2718.1,0.55,246.9,0.55
2026-08-20T22:23:47+00:00,3710314,BTC,2209.1,0.57,78.7,0.59
2026-08-20T23:02:23+00:00,3710883,BTC,3461.3,0.55,237.3,0.55
2026-08-21T00:03:13+00:00,3711396,BTC,3406.7,0.62,1078.8,0.62
2026-08-21T01:03:12+00:00,3712933,BTC,3407.8,0.6,749.1,0.6
2026-08-21T02:46:01+00:00,3713406,SOL,838.4,0.97,356.5,0.97
2026-08-21T03:11:25+00:00,3713632,BTC,2917.9,0.55,225.0,0.56
2026-08-21T04:03:46+00:00,3713934,BTC,3374.6,0.81,2024.6,0.81
2026-08-21T05:05:33+00:00,3715346,BTC,3266.8,0.57,113.1,0.58
2026-08-21T06:27:32+00:00,3715762,BTC,1949.3,0.55,1313.9,0.5
2026-08-21T07:01:23+00:00,3716124,BTC,3516.5,0.55,656.0,0.53
2026-08-21T08:03:57+00:00,3716387,BTC,3367.1,0.76,374.3,0.76
2026-08-21T09:27:10+00:00,3717295,SOL,1970.0,0.93,1496.1,0.939
2026-08-21T10:10:30+00:00,3718515,BTC,2969.3,0.55,277.7,0.55
2026-08-21T11:05:34+00:00,3718975,BTC,3266.0,0.55,387.7,0.55
2026-08-21T12:01:36+00:00,3719753,BTC,3504.4,0.55,666.0,0.54
2026-08-21T13:04:49+00:00,3720710,BTC,3310.6,0.56,394.7,0.56
2026-08-21T13:50:35+00:00,3720716,SOL,565.2,0.88,1.6,0.88
2026-08-21T14:46:15+00:00,3721941,BTC,824.8,0.55,878.3,0.55
2026-08-21T15:02:42+00:00,3722398,BTC,3437.7,0.57,913.8,0.57
2026-08-21T16:27:49+00:00,3723985,BTC,1931.2,0.55,541.9,0.55
2026-08-21T17:03:31+00:00,3724605,BTC,3388.3,0.57,527.9,0.57
2026-08-21T18:05:33+00:00,3725782,BTC,3266.2,0.64,629.0,0.64
