ts_deteccion_utc,market_id,activo,ventana_min,direccion,restante_s,py_ask_yes,profundidad_ratio,profundidad_ask
2026-08-19T11:42:03+00:00,3664375,ETH,60,BUY_YES,1084.3,0.92,563.0,0.92
2026-08-19T11:52:00+00:00,3695590,SOL,240,BUY_YES,479.2,0.55,10.6,0.55
2026-08-19T12:02:29+00:00,3664712,ETH,60,BUY_YES,3450.7,0.55,16.5,0.55
2026-08-19T13:21:52+00:00,3667707,ETH,60,BUY_YES,2287.7,0.55,116.7,0.55
2026-08-19T14:02:32+00:00,3669185,ETH,60,BUY_YES,3448.1,0.55,60.6,0.55
2026-08-19T15:02:39+00:00,3669878,ETH,60,BUY_YES,3440.7,0.56,356.3,0.54
2026-08-19T15:11:25+00:00,3701632,BTC,240,BUY_NO,2914.6,0.42,224.1,0.6
2026-08-19T15:59:02+00:00,3701634,SOL,240,BUY_YES,57.9,0.6,15.3,0.6
2026-08-19T15:59:02+00:00,3701635,ETH,240,BUY_YES,57.9,0.6,20.9,0.6
2026-08-19T16:01:44+00:00,3670183,ETH,60,BUY_YES,3495.9,0.56,32.9,0.56
2026-08-19T17:48:36+00:00,3671358,ETH,60,BUY_YES,683.6,0.55,15.7,0.55
2026-08-19T18:45:28+00:00,3672094,ETH,60,BUY_YES,871.5,0.59,28.8,0.59
2026-08-19T19:03:03+00:00,3679218,ETH,60,BUY_YES,3416.9,0.56,11.0,0.57
2026-08-19T19:59:01+00:00,3709199,ETH,240,BUY_YES,58.8,0.6,21.3,0.6
2026-08-19T19:59:01+00:00,3709215,BTC,240,BUY_YES,58.8,0.6,26.3,0.6
2026-08-19T19:59:09+00:00,3709193,SOL,240,BUY_YES,50.6,0.57,6.3,0.57
2026-08-19T20:02:31+00:00,3681983,ETH,60,BUY_YES,3594.9,0.57,99.0,0.57
2026-08-19T21:02:01+00:00,3682651,ETH,60,BUY_YES,3592.4,0.61,317.7,0.61
2026-08-19T23:09:06+00:00,3684975,ETH,60,BUY_YES,3089.1,0.56,354.1,0.54
2026-08-19T23:57:38+00:00,3711483,ETH,240,BUY_YES,141.8,0.55,79.8,0.55
2026-08-19T23:59:01+00:00,3711479,SOL,240,BUY_YES,58.2,0.6,14.3,0.6
2026-08-20T00:01:05+00:00,3685736,ETH,60,BUY_YES,3534.9,0.55,411.6,0.55
2026-08-20T02:01:42+00:00,3687224,ETH,60,BUY_YES,3497.7,0.55,13.3,0.55
2026-08-20T03:45:18+00:00,3687505,ETH,60,BUY_YES,881.5,0.567,279.8,0.56
2026-08-20T03:59:52+00:00,3714256,SOL,240,BUY_YES,7.7,0.64,3.0,0.64
2026-08-20T03:59:53+00:00,3714260,ETH,240,BUY_YES,6.8,0.59,5.6,0.59
2026-08-20T04:03:01+00:00,3688228,ETH,60,BUY_YES,3418.7,0.56,306.4,0.56
2026-08-20T05:01:07+00:00,3689253,ETH,60,BUY_YES,3532.8,0.58,85.1,0.58
2026-08-20T06:22:00+00:00,3691278,ETH,60,BUY_YES,2289.9,0.62,456.0,0.62
2026-08-20T07:59:54+00:00,3716428,ETH,240,BUY_YES,5.8,0.61,12.0,0.61
2026-08-20T08:01:52+00:00,3692239,ETH,60,BUY_YES,3487.2,0.56,131.8,0.56
2026-08-20T09:06:30+00:00,3692599,ETH,60,BUY_YES,3210.1,0.56,74.4,0.56
2026-08-20T10:01:57+00:00,3693281,ETH,60,BUY_YES,3482.1,0.55,69.7,0.55
2026-08-20T11:01:33+00:00,3693751,ETH,60,BUY_YES,3507.0,0.56,50.3,0.56
2026-08-20T11:59:52+00:00,3719924,ETH,240,BUY_YES,7.2,0.63,9.0,0.63
2026-08-20T11:59:54+00:00,3719911,SOL,240,BUY_YES,5.3,0.64,19.3,0.64
2026-08-20T12:01:57+00:00,3695182,ETH,60,BUY_YES,3482.7,0.55,140.2,0.55
2026-08-20T13:04:33+00:00,3696471,ETH,60,BUY_YES,3326.2,0.57,109.0,0.57
2026-08-20T14:03:40+00:00,3697259,ETH,60,BUY_YES,3510.2,0.55,125.6,0.55
2026-08-20T15:02:06+00:00,3698268,ETH,60,BUY_YES,3586.6,0.74,281.7,0.74
2026-08-20T16:07:45+00:00,3701204,ETH,60,BUY_YES,3134.6,0.55,123.6,0.55
