ts_deteccion_utc,market_id,activo,ventana_min,direccion,lag_apertura_s,restante_s,py_ask_yes,profundidad_ratio,profundidad_ask
2026-08-19T10:20:02+00:00,3693515,SOL,5,BUY_YES,2.01,298.0,0.98,1081.4,0.98
2026-08-19T10:25:02+00:00,3693521,SOL,5,BUY_YES,2.02,298.0,0.98,1056.0,0.98
2026-08-19T10:30:02+00:00,3693534,SOL,5,BUY_YES,2.01,298.0,0.95,1539.8,0.95
2026-08-19T10:35:02+00:00,3693588,SOL,5,BUY_YES,2.04,298.0,0.95,1539.7,0.95
2026-08-19T10:40:02+00:00,3693722,SOL,5,BUY_YES,2.01,298.0,0.98,1055.9,0.98
2026-08-19T10:45:02+00:00,3693726,SOL,5,BUY_YES,2.02,298.0,0.98,9.4,0.98
2026-08-19T10:54:38+00:00,3693731,BTC,15,BUY_NO,578.57,321.4,0.42,0.0,0.61
2026-08-19T10:54:38+00:00,3693742,BTC,5,BUY_NO,278.92,21.1,0.04,1092.6,0.99
2026-08-19T10:55:02+00:00,3693763,BTC,5,BUY_YES,2.01,298.0,0.61,292.7,0.61
2026-08-19T10:55:02+00:00,3693758,SOL,5,BUY_YES,2.0,298.0,0.56,51.2,0.56
2026-08-19T11:00:02+00:00,3693794,BTC,5,BUY_NO,2.08,297.9,0.45,49.4,0.56
2026-08-19T11:00:02+00:00,3693789,SOL,5,BUY_YES,2.08,297.9,0.61,97.3,0.61
2026-08-19T11:00:02+00:00,3693798,BTC,15,BUY_NO,2.11,897.9,0.45,86.2,0.56
2026-08-19T11:00:42+00:00,3693794,BTC,5,BUY_YES,42.4,257.6,0.55,27.1,0.56
2026-08-19T11:05:02+00:00,3693802,SOL,5,BUY_YES,2.01,298.0,0.63,0.0,0.73
2026-08-19T11:05:02+00:00,3693801,BTC,5,BUY_YES,2.02,298.0,0.84,788.5,0.83
2026-08-19T11:05:13+00:00,3693801,BTC,5,BUY_NO,12.96,287.0,0.35,219.8,0.66
2026-08-19T11:10:02+00:00,3694148,BTC,5,BUY_NO,2.16,297.8,0.32,864.4,0.64
2026-08-19T11:10:46+00:00,3694148,BTC,5,BUY_YES,46.47,253.5,0.59,130.0,0.59
2026-08-19T11:11:43+00:00,3694144,SOL,5,BUY_YES,103.19,196.8,0.8,0.0,0.86
2026-08-19T11:15:02+00:00,3694159,BTC,15,BUY_NO,2.01,898.0,0.44,787.7,0.57
2026-08-19T11:15:02+00:00,3694165,BTC,5,BUY_NO,2.01,298.0,0.45,94.3,0.56
2026-08-19T11:15:07+00:00,3694156,SOL,5,BUY_YES,7.35,292.6,0.58,10.1,0.58
2026-08-19T11:20:02+00:00,3694170,BTC,5,BUY_YES,2.0,298.0,0.63,1.5,0.65
2026-08-19T11:20:02+00:00,3694166,SOL,5,BUY_YES,2.01,298.0,0.57,9.9,0.57
2026-08-19T11:21:07+00:00,3694170,BTC,5,BUY_NO,67.15,232.8,0.41,1015.8,0.6
2026-08-19T11:25:02+00:00,3694267,BTC,5,BUY_NO,2.0,298.0,0.45,20.1,0.56
2026-08-19T11:27:43+00:00,3694267,BTC,5,BUY_YES,163.16,136.8,0.55,145.6,0.55
2026-08-19T11:27:53+00:00,3694262,SOL,5,BUY_YES,173.54,126.5,0.82,82.8,0.82
2026-08-19T11:30:02+00:00,3694275,BTC,15,BUY_NO,2.02,898.0,0.45,404.8,0.56
2026-08-19T11:30:05+00:00,3694286,BTC,5,BUY_YES,5.08,294.9,0.6,255.3,0.6
2026-08-19T11:30:10+00:00,3694278,SOL,5,BUY_YES,10.23,289.8,0.56,9.8,0.56
2026-08-19T11:35:02+00:00,3694355,BTC,5,BUY_NO,2.12,297.9,0.44,0.0,0.62
2026-08-19T11:37:44+00:00,3694355,BTC,5,BUY_YES,164.43,135.6,0.55,0.0,0.61
2026-08-19T11:40:06+00:00,3695130,BTC,5,BUY_NO,6.53,293.5,0.41,161.5,0.59
2026-08-19T11:45:02+00:00,3695143,SOL,5,BUY_YES,2.02,298.0,0.63,14.7,0.63
2026-08-19T11:45:11+00:00,3695146,BTC,5,BUY_YES,11.62,288.4,0.71,0.0,0.75
2026-08-19T11:50:02+00:00,3695158,SOL,5,BUY_YES,2.01,298.0,0.58,10.1,0.58
2026-08-19T11:50:02+00:00,3695164,BTC,5,BUY_YES,2.02,298.0,0.78,415.8,0.78
2026-08-19T11:53:30+00:00,3695164,BTC,5,BUY_NO,210.81,89.2,0.17,20.7,0.87
2026-08-19T11:55:03+00:00,3695575,BTC,5,BUY_YES,2.06,297.9,0.67,228.8,0.67
2026-08-19T11:55:26+00:00,3695576,SOL,5,BUY_YES,26.68,273.3,0.55,9.6,0.55
2026-08-19T12:00:11+00:00,3695587,SOL,5,BUY_YES,11.02,289.0,0.65,6.3,0.66
2026-08-19T12:00:12+00:00,3695591,BTC,5,BUY_YES,12.66,287.3,0.57,139.0,0.56
2026-08-19T12:00:17+00:00,3695607,BTC,15,BUY_NO,17.38,882.6,0.44,38.4,0.57
2026-08-19T12:00:17+00:00,3695591,BTC,5,BUY_NO,17.39,282.6,0.33,0.0,0.74
2026-08-19T12:05:02+00:00,3695645,BTC,5,BUY_NO,2.01,298.0,0.44,27.6,0.58
2026-08-19T12:06:57+00:00,3695645,BTC,5,BUY_YES,117.36,182.6,0.65,237.5,0.65
2026-08-19T12:07:06+00:00,3695643,SOL,5,BUY_YES,126.65,173.4,0.59,0.0,0.62
2026-08-19T12:10:02+00:00,3695725,BTC,5,BUY_NO,2.25,297.7,0.37,104.9,0.64
2026-08-19T12:15:10+00:00,3695741,BTC,5,BUY_YES,10.75,289.2,0.55,281.1,0.54
2026-08-19T12:15:18+00:00,3695741,BTC,5,BUY_NO,18.21,281.8,0.4,190.9,0.61
2026-08-19T12:15:19+00:00,3695736,BTC,15,BUY_NO,19.38,880.6,0.41,8.7,0.6
2026-08-19T12:18:21+00:00,3695745,SOL,5,BUY_YES,201.32,98.7,0.61,14.9,0.61
2026-08-19T12:20:02+00:00,3695752,BTC,5,BUY_NO,2.04,298.0,0.41,253.2,0.59
2026-08-19T12:20:39+00:00,3695752,BTC,5,BUY_YES,39.3,260.7,0.55,318.2,0.55
