market_id,strategy,subtype,direction,precio_plan,precio_limit,mejor_ask_veto,ts_snapshot,end_date,filled,acierto,pnl1_maker
2798754,GBM_LATE_15M,SOL#15min,BUY_YES,0.505,0.51,0.73,2026-07-05T19:33:10+00:00,2026-07-05T19:45:00,0,1,0.0
2799020,GBM_LATE_15M,XRP#15min,BUY_YES,0.5,0.5,0.79,2026-07-05T19:48:09+00:00,2026-07-05T20:00:00,1,1,1.0
2799021,GBM_LATE_15M,SOL#15min,BUY_YES,0.515,0.52,0.74,2026-07-05T19:48:09+00:00,2026-07-05T20:00:00,1,1,0.9231
2800614,GBM_LATE_15M,XRP#15min,BUY_YES,0.48,0.48,0.63,2026-07-05T23:18:04+00:00,2026-07-05T23:30:00,1,0,-1.0
2803824,GBM_LATE_15M,SOL#15min,BUY_YES,0.475,0.47,0.53,2026-07-06T06:33:38+00:00,2026-07-06T06:45:00,1,1,1.1277
2804324,GBM_LATE_15M,SOL#15min,BUY_YES,0.505,0.51,0.65,2026-07-06T07:18:48+00:00,2026-07-06T07:30:00,1,1,0.9608
2804581,GBM_LATE_15M,SOL#15min,BUY_NO,0.495,0.49,0.76,2026-07-06T08:33:17+00:00,2026-07-06T08:45:00,0,1,0.0
2804586,GBM_LATE_15M,XRP#15min,BUY_NO,0.51,0.51,0.91,2026-07-06T08:33:17+00:00,2026-07-06T08:45:00,0,1,0.0
2804617,GBM_LATE_15M,XRP#15min,BUY_NO,0.485,0.48,0.69,2026-07-06T08:49:09+00:00,2026-07-06T09:00:00,1,0,-1.0
2804653,GBM_LATE_15M,XRP#15min,BUY_NO,0.5,0.5,0.73,2026-07-06T09:04:49+00:00,2026-07-06T09:15:00,0,1,0.0
2804659,GBM_LATE_15M,SOL#15min,BUY_NO,0.515,0.52,0.72,2026-07-06T09:04:49+00:00,2026-07-06T09:15:00,0,1,0.0
2804680,GBM_LATE_15M,SOL#15min,BUY_YES,0.505,0.51,0.71,2026-07-06T09:18:23+00:00,2026-07-06T09:30:00,1,1,0.9608
2806719,GBM_LATE_15M,XRP#15min,BUY_NO,0.49,0.49,0.78,2026-07-06T13:03:10+00:00,2026-07-06T13:15:00,0,1,0.0
2806726,GBM_LATE_15M,SOL#15min,BUY_NO,0.495,0.49,0.67,2026-07-06T13:03:10+00:00,2026-07-06T13:15:00,1,1,1.0408
2806760,GBM_LATE_15M,SOL#15min,BUY_NO,0.475,0.47,0.67,2026-07-06T13:18:09+00:00,2026-07-06T13:30:00,1,1,1.1277
2806762,GBM_LATE_15M,XRP#15min,BUY_NO,0.475,0.47,0.65,2026-07-06T13:18:09+00:00,2026-07-06T13:30:00,1,1,1.1277
2806819,GBM_LATE_15M,SOL#15min,BUY_YES,0.41,0.41,0.75,2026-07-06T13:33:21+00:00,2026-07-06T13:45:00,0,1,0.0
2806822,GBM_LATE_15M,XRP#15min,BUY_YES,0.525,0.53,0.84,2026-07-06T13:33:21+00:00,2026-07-06T13:45:00,1,1,0.8868
2806823,GBM_LATE_15M,ETH#15min,BUY_YES,0.485,0.48,0.76,2026-07-06T13:33:22+00:00,2026-07-06T13:45:00,1,1,1.0833
2806882,GBM_LATE_15M,SOL#15min,BUY_YES,0.475,0.47,0.84,2026-07-06T13:48:21+00:00,2026-07-06T14:00:00,0,0,0.0
2806890,GBM_LATE_15M,XRP#15min,BUY_YES,0.51,0.51,0.78,2026-07-06T13:48:21+00:00,2026-07-06T14:00:00,0,0,0.0
2806894,GBM_LATE_15M,ETH#15min,BUY_YES,0.365,0.36,0.65,2026-07-06T13:48:21+00:00,2026-07-06T14:00:00,0,1,0.0
2806911,GBM_LATE_15M,SOL#15min,BUY_YES,0.475,0.47,0.57,2026-07-06T14:03:14+00:00,2026-07-06T14:15:00,1,0,-1.0
2806913,GBM_LATE_15M,XRP#15min,BUY_NO,0.505,0.51,0.62,2026-07-06T14:04:37+00:00,2026-07-06T14:15:00,1,0,-1.0
2807013,GBM_LATE_15M,SOL#15min,BUY_NO,0.465,0.47,0.61,2026-07-06T14:18:19+00:00,2026-07-06T14:30:00,1,0,-1.0
2807016,GBM_LATE_15M,XRP#15min,BUY_NO,0.505,0.51,0.79,2026-07-06T14:19:00+00:00,2026-07-06T14:30:00,1,0,-1.0
2807051,GBM_LATE_15M,ETH#15min,BUY_YES,0.505,0.51,0.6,2026-07-06T14:33:11+00:00,2026-07-06T14:45:00,1,1,0.9608
2807052,GBM_LATE_15M,SOL#15min,BUY_YES,0.495,0.49,0.52,2026-07-06T14:33:11+00:00,2026-07-06T14:45:00,1,0,-1.0
2807054,GBM_LATE_15M,XRP#15min,BUY_YES,0.495,0.49,0.66,2026-07-06T14:33:11+00:00,2026-07-06T14:45:00,1,1,1.0408
2807200,GBM_LATE_15M,XRP#15min,BUY_YES,0.495,0.49,0.61,2026-07-06T14:48:34+00:00,2026-07-06T15:00:00,1,1,1.0408
2807194,GBM_LATE_15M,SOL#15min,BUY_NO,0.515,0.52,0.67,2026-07-06T14:49:20+00:00,2026-07-06T15:00:00,0,1,0.0
2807254,GBM_LATE_15M,ETH#15min,BUY_YES,0.545,0.55,0.75,2026-07-06T15:03:10+00:00,2026-07-06T15:15:00,0,1,0.0
2807259,GBM_LATE_15M,XRP#15min,BUY_YES,0.5,0.5,0.73,2026-07-06T15:03:10+00:00,2026-07-06T15:15:00,0,1,0.0
2807262,GBM_LATE_15M,SOL#15min,BUY_YES,0.645,0.65,0.82,2026-07-06T15:03:58+00:00,2026-07-06T15:15:00,0,1,0.0
2807305,GBM_LATE_15M,XRP#15min,BUY_NO,0.505,0.51,0.66,2026-07-06T15:18:11+00:00,2026-07-06T15:30:00,0,0,0.0
2807375,GBM_LATE_15M,XRP#15min,BUY_NO,0.5,0.5,0.82,2026-07-06T15:33:20+00:00,2026-07-06T15:45:00,0,0,0.0
2807457,GBM_LATE_15M,XRP#15min,BUY_NO,0.505,0.51,0.81,2026-07-06T15:48:26+00:00,2026-07-06T16:00:00,1,0,-1.0
2807466,GBM_LATE_15M,SOL#15min,BUY_NO,0.525,0.53,0.79,2026-07-06T15:48:26+00:00,2026-07-06T16:00:00,1,0,-1.0
2807467,GBM_LATE_15M,ETH#15min,BUY_YES,0.185,0.18,0.28,2026-07-06T15:49:53+00:00,2026-07-06T16:00:00,0,1,0.0
2808307,GBM_LATE_15M,SOL#15min,BUY_YES,0.5,0.5,0.54,2026-07-06T16:03:11+00:00,2026-07-06T16:15:00,1,1,1.0
2808311,GBM_LATE_15M,XRP#15min,BUY_NO,0.52,0.52,0.86,2026-07-06T16:04:13+00:00,2026-07-06T16:15:00,1,0,-1.0
2808344,GBM_LATE_15M,SOL#15min,BUY_NO,0.32,0.32,0.43,2026-07-06T16:18:11+00:00,2026-07-06T16:30:00,0,1,0.0
2808343,GBM_LATE_15M,XRP#15min,BUY_YES,0.475,0.47,0.75,2026-07-06T16:20:21+00:00,2026-07-06T16:30:00,1,0,-1.0
