ts_deteccion_utc,ts_prediccion_utc,market_id,strategy,activo,decision,precio_yes_mercado,mejor_ask_deteccion,profundidad_eur_deteccion,ratio_vs_stake_deteccion
2026-08-25T07:47:09+00:00,2026-08-25T07:46:34+00:00,3836022,MOMENTUM_IBS_15M,BNB,BUY_NO,0.505,0.5,45.3,43.1
2026-08-25T08:45:48+00:00,2026-08-25T08:45:18+00:00,3837893,MOMENTUM_IBS_15M,BNB,BUY_NO,0.505,0.5,42.75,40.7
2026-08-25T09:01:38+00:00,2026-08-25T09:01:05+00:00,3838770,MOMENTUM_IBS_15M,BNB,BUY_NO,0.505,0.5,42.75,40.7
2026-08-25T09:47:25+00:00,2026-08-25T09:47:05+00:00,3839328,MOMENTUM_IBS_15M,BNB,BUY_NO,0.505,0.5,45.3,43.1
2026-08-25T10:01:40+00:00,2026-08-25T10:01:07+00:00,3839612,MOMENTUM_IBS_15M,BNB,BUY_NO,0.505,0.5,42.75,40.7
2026-08-25T10:35:09+00:00,2026-08-25T10:34:39+00:00,3839840,MOMENTUM_IBS_15M,BNB,BUY_NO,0.505,0.5,42.75,40.7
2026-08-25T11:01:58+00:00,2026-08-25T11:01:21+00:00,3840170,MOMENTUM_IBS_15M,BNB,BUY_NO,0.505,0.5,42.75,40.7
2026-08-25T11:17:11+00:00,2026-08-25T11:16:42+00:00,3840211,MOMENTUM_IBS_15M,BNB,BUY_NO,0.505,0.5,45.3,43.1
2026-08-25T11:48:26+00:00,2026-08-25T11:48:06+00:00,3841095,MOMENTUM_IBS_15M,BNB,BUY_NO,0.505,0.5,45.3,43.1
2026-08-25T12:02:14+00:00,2026-08-25T12:01:52+00:00,3842248,MOMENTUM_IBS_15M,BNB,BUY_NO,0.505,0.5,27.55,26.2
2026-08-25T12:23:44+00:00,2026-08-25T12:23:19+00:00,3842399,MOMENTUM_IBS_15M,BNB,BUY_NO,0.505,0.5,42.75,40.7
2026-08-25T13:18:21+00:00,2026-08-25T13:17:47+00:00,3843163,MOMENTUM_IBS_15M,BNB,BUY_NO,0.505,0.5,42.75,40.7
2026-08-25T13:32:27+00:00,2026-08-25T13:31:48+00:00,3843385,MOMENTUM_IBS_15M,BNB,BUY_NO,0.505,0.5,45.3,43.1
2026-08-25T13:47:49+00:00,2026-08-25T13:47:23+00:00,3843467,MOMENTUM_IBS_15M,BNB,BUY_NO,0.505,0.5,42.75,40.7
2026-08-25T15:06:13+00:00,2026-08-25T15:05:30+00:00,3846588,MOMENTUM_IBS_15M,BNB,BUY_NO,0.505,0.5,42.75,40.7
2026-08-25T15:18:23+00:00,2026-08-25T15:17:57+00:00,3847142,MOMENTUM_IBS_15M,BNB,BUY_NO,0.505,0.5,45.3,43.1
2026-08-25T16:16:19+00:00,2026-08-25T16:15:43+00:00,3850146,MOMENTUM_IBS_15M,BNB,BUY_NO,0.505,0.5,42.75,40.7
2026-08-25T17:04:36+00:00,2026-08-25T17:04:09+00:00,3850824,MOMENTUM_IBS_15M,BNB,BUY_NO,0.505,0.5,45.3,43.1
2026-08-25T18:33:54+00:00,2026-08-25T18:33:23+00:00,3857227,MOMENTUM_IBS_15M,BNB,BUY_NO,0.505,0.5,45.3,43.1
2026-08-25T18:49:12+00:00,2026-08-25T18:48:40+00:00,3857653,MOMENTUM_IBS_15M,BNB,BUY_NO,0.505,0.5,45.3,43.1
2026-08-25T19:48:47+00:00,2026-08-25T19:48:13+00:00,3859664,MOMENTUM_IBS_15M,BNB,BUY_NO,0.485,0.52,45.5,43.3
2026-08-25T19:48:52+00:00,2026-08-25T19:48:13+00:00,3859664,MOMENTUM_IBS_15M,BNB,BUY_NO,0.485,0.52,45.5,43.3
2026-08-25T20:05:29+00:00,2026-08-25T20:04:46+00:00,3860069,MOMENTUM_IBS_15M,BNB,BUY_NO,0.505,0.5,45.3,43.1
2026-08-25T20:27:46+00:00,2026-08-25T20:27:23+00:00,3860479,MOMENTUM_IBS_15M,BNB,BUY_NO,0.505,0.5,42.75,40.7
2026-08-25T20:35:35+00:00,2026-08-25T20:35:07+00:00,3860510,MOMENTUM_IBS_15M,BNB,BUY_NO,0.505,0.5,45.3,43.1
2026-08-25T20:49:24+00:00,2026-08-25T20:48:44+00:00,3860596,MOMENTUM_IBS_15M,BNB,BUY_NO,0.505,0.5,42.75,40.7
