ts_deteccion_utc,ts_prediccion_utc,market_id,strategy,activo,marco,decision,precio_yes_mercado,bot_consenso_lado,bot_consenso_n,bot_consenso_pct,mejor_ask_deteccion,profundidad_eur_deteccion,ratio_vs_stake_deteccion,sigue_fillable,decision_dry_run
2026-09-09T10:12:33+00:00,2026-09-09T10:12:20+00:00,4360299,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.77,Down,13,0.6154,0.43,0.0,0.0,0,NO_dispara_sin_libro
2026-09-09T10:15:49+00:00,2026-09-09T10:15:37+00:00,4360308,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_YES,0.31,Up,4,0.75,0.17,423.29,403.1,1,DISPARARIA
2026-09-09T11:02:04+00:00,2026-09-09T11:01:33+00:00,4360581,MOMENTUM_IBS_15M_BALLENA,SOL,15min,BUY_NO,0.505,Down,4,0.75,0.76,0.0,0.0,0,NO_dispara_sin_libro
2026-09-09T11:10:10+00:00,2026-09-09T11:09:49+00:00,4360619,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_YES,0.5,Up,4,1.0,0.73,0.0,0.0,0,NO_dispara_sin_libro
2026-09-09T11:16:55+00:00,2026-09-09T11:16:35+00:00,4360994,MOMENTUM_IBS_15M_BALLENA,SOL,15min,BUY_NO,0.505,Down,3,1.0,0.83,0.0,0.0,0,NO_dispara_sin_libro
2026-09-09T12:01:49+00:00,2026-09-09T12:01:46+00:00,4362347,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.75,Down,13,0.6923,0.27,0.0,0.0,0,NO_dispara_sin_libro
2026-09-09T12:10:21+00:00,2026-09-09T12:10:18+00:00,4362457,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.85,Down,4,0.5,0.23,0.0,0.0,0,NO_dispara_sin_libro
2026-09-09T12:15:07+00:00,2026-09-09T12:14:42+00:00,4362942,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_YES,0.5,Up,4,1.0,0.63,0.0,0.0,0,NO_dispara_sin_libro
2026-09-09T12:28:25+00:00,2026-09-09T12:28:21+00:00,4363424,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_YES,0.51,Up,22,0.5455,0.49,49.79,47.4,1,DISPARARIA
2026-09-09T13:11:57+00:00,2026-09-09T13:11:24+00:00,4363912,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.5,Down,4,1.0,0.81,0.0,0.0,0,NO_dispara_sin_libro
2026-09-09T13:20:44+00:00,2026-09-09T13:20:25+00:00,4364175,MOMENTUM_IBS_15M_BALLENA,BNB,15min,BUY_YES,0.495,Up,5,0.8,0.58,0.0,0.0,0,NO_dispara_sin_libro
2026-09-09T13:33:16+00:00,2026-09-09T13:32:52+00:00,4364379,MOMENTUM_IBS_15M_BALLENA,SOL,15min,BUY_YES,0.5,Up,15,0.6667,0.48,295.59,281.5,1,DISPARARIA
2026-09-09T13:33:16+00:00,2026-09-09T13:32:52+00:00,4364380,MOMENTUM_IBS_15M_BALLENA,BNB,15min,BUY_YES,0.495,Up,4,0.75,0.45,60.12,57.3,1,DISPARARIA
2026-09-09T13:33:31+00:00,2026-09-09T13:33:21+00:00,4364371,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_YES,0.32,Up,29,0.5172,0.1,498.43,474.7,1,DISPARARIA
2026-09-09T14:46:02+00:00,2026-09-09T14:45:20+00:00,4366347,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.5,Down,7,0.5714,0.41,188.01,179.1,1,DISPARARIA
2026-09-09T15:36:01+00:00,2026-09-09T15:35:27+00:00,4366772,MOMENTUM_IBS_15M_BALLENA,BNB,15min,BUY_YES,0.495,Up,3,0.6667,0.82,0.0,0.0,0,NO_dispara_sin_libro
2026-09-09T15:55:25+00:00,2026-09-09T15:54:47+00:00,4367934,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_YES,0.5,Up,3,1.0,0.54,0.0,0.0,0,NO_dispara_sin_libro
2026-09-09T15:57:11+00:00,2026-09-09T15:56:35+00:00,4366905,MOMENTUM_IBS_15M_BALLENA,BNB,15min,BUY_NO,0.495,Down,5,0.6,0.82,0.0,0.0,0,NO_dispara_sin_libro
