strategy,n_total,n_aciertos,n_fallos,hit_rate,ic_bayes,confianza,ic_efectivo,pnl_total,pnl_medio,max_ganancia,max_perdida,avg_win,avg_loss,expectancy,profit_factor,mejor_racha,peor_racha,edge_medio_pred,edge_real,avg_horas_ganadora,avg_horas_perdedora,kelly_optimo,causa_perdida_principal,confianza_n40,ic_efectivo_n40,n_necesario_95
GBM_LATE_15M_TARDIO,34859,22662,12197,0.6501,0.1501,1.0,0.1501,21985.7455,0.6307,17.96,-2.04,1.9115,-1.749,0.6307,2.0306,28,20,0.0068,0.7008,0.1,0.1,0.33,DIRECTION_ERROR,1.0,0.1501,39
GBM_LATE_15M_ESPACIO_ATR,36298,21663,14635,0.5968,0.0968,1.0,0.0968,18731.8377,0.5161,103.929,-2.04,1.8191,-1.4128,0.5161,1.906,21,17,-0.0211,0.5734,0.2,0.2,0.2837,DIRECTION_ERROR,1.0,0.0968,99
GBM_LATE_15M,37534,22088,15446,0.5885,0.0885,1.0,0.0885,16015.6341,0.4267,103.929,-2.04,1.7172,-1.4188,0.4267,1.7308,20,16,-0.0171,0.4741,0.2,0.2,0.2485,DIRECTION_ERROR,1.0,0.0885,119
GBM_LATE_15M_MULTIHORIZONTE,20643,13790,6853,0.668,0.168,1.0,0.168,15311.2879,0.7417,17.96,-2.04,2.1159,-2.0236,0.7417,2.1041,41,12,-0.0005,0.8241,0.2,0.2,0.3505,DIRECTION_ERROR,1.0,0.168,31
UPDOWN_GBM_15M_TARDIO,15243,7724,7519,0.5067,0.0067,1.0,0.0067,4290.9618,0.2815,103.929,-2.04,1.7246,-1.201,0.2815,1.4752,24,17,-0.1039,0.3128,0.2,0.2,0.1632,DIRECTION_ERROR,1.0,0.0067,21242
CANDIDATA10_CONFIRMACION_CRUZADA,17997,8491,9506,0.4718,-0.0282,1.0,-0.0282,4050.2102,0.225,103.929,-1.071,1.6876,-1.0646,0.2339,1.3978,6,10,0.0007,0.2501,0.0,0.0,0.1386,DIRECTION_ERROR,1.0,-0.0282,1205
GBM_LATE_5M,8780,5393,3387,0.6142,0.1142,1.0,0.1142,3942.4224,0.449,17.0076,-2.04,1.7385,-1.6042,0.449,1.7256,27,20,0.0343,0.4989,0.1,0.1,0.2583,DIRECTION_ERROR,1.0,0.1142,70
UPDOWN_GBM,40865,21756,19109,0.5324,0.0324,1.0,0.0324,2688.3446,0.0658,17.0076,-2.04,0.7106,-0.6684,0.0658,1.2105,25,22,-0.0082,0.0731,0.4,0.4,0.0926,DIRECTION_ERROR,1.0,0.0324,912
GBM_LATE_15M_PYCONFIRMADO,5506,3422,2084,0.6215,0.1215,1.0,0.1215,2235.5088,0.406,15.3513,-2.04,1.6068,-1.5658,0.406,1.6851,15,10,-0.0069,0.4511,0.2,0.2,0.2527,DIRECTION_ERROR,1.0,0.1215,62
MOMENTUM_IBS_5M_BALLENA,72460,31003,41457,0.4279,-0.0721,1.0,-0.0721,1792.2443,0.0247,103.929,-2.04,1.3226,-0.9459,0.0247,1.0457,21,23,-0.013,0.0275,0.1,0.1,0.0187,DIRECTION_ERROR,1.0,-0.0721,181
MOMENTUM_IBS_15M_BALLENA,28565,14098,14467,0.4935,-0.0065,1.0,-0.0065,1314.8527,0.046,103.929,-2.04,0.9391,-0.8243,0.046,1.1103,20,21,-0.0077,0.0511,0.3,0.3,0.049,DIRECTION_ERROR,1.0,-0.0065,23021
WEEKLY_PRICE,2332,1865,467,0.7997,0.2995,1.0,0.2995,1160.8788,0.4978,5.6523,-2.04,1.0224,-1.5971,0.4978,2.5564,36,7,-0.081,0.5531,106.1,101.7,0.4,DIRECTION_ERROR,1.0,0.2995,7
UPDOWN_GBM_IBS_ALTO,983,779,204,0.7925,0.2919,1.0,0.2919,777.8107,0.7913,9.2337,-2.04,1.5064,-1.9395,0.7913,2.9659,29,6,0.1883,0.8792,0.1,0.2,0.4,DIRECTION_ERROR,1.0,0.2919,8
GBM_LATE_60M,1700,968,732,0.5694,0.0693,1.0,0.0693,742.0163,0.4365,17.0076,-2.04,1.7935,-1.358,0.4365,1.7465,16,12,0.0631,0.485,0.3,0.3,0.2434,DIRECTION_ERROR,1.0,0.0693,196
LEADLAG_BTC_XRP_15M,2239,1312,927,0.586,0.0859,1.0,0.0859,524.9687,0.2345,3.6563,-2.04,1.392,-1.4038,0.2345,1.4034,14,10,-0.0007,0.2605,0.2,0.2,0.1684,DIRECTION_ERROR,1.0,0.0859,127
ORDER_FLOW_5M,2729,1500,1229,0.5497,0.0496,1.0,0.0496,368.5008,0.135,3.0233,-2.04,1.0332,-0.9612,0.135,1.3119,11,9,-0.2035,0.15,0.1,0.1,0.1307,DIRECTION_ERROR,1.0,0.0496,387
UPDOWN_GBM_15M_CROSS_WINDOW_SPREAD,829,689,140,0.8311,0.3303,1.0,0.3303,224.638,0.271,1.6297,-2.04,0.7227,-1.952,0.271,1.822,31,4,0.1155,0.3011,0.1,0.1,0.375,DIRECTION_ERROR,1.0,0.3303,5
RESOLUTION_SNIPER,289,264,25,0.9135,0.4107,1.0,0.4107,221.677,0.767,14.9092,-2.04,0.9525,-1.191,0.767,8.4454,59,4,-0.1115,0.8523,0.9,1.2,0.4,DIRECTION_ERROR,1.0,0.4107,2
FAVORITO_CONFIRMADO_5MIN_BAJALATENCIA,22052,13642,8410,0.6186,0.1186,1.0,0.1186,203.4537,0.0092,0.8381,-1.071,0.6761,-1.0686,0.0107,1.0226,32,13,-0.06,0.0103,0.1,0.1,0.0159,DIRECTION_ERROR,1.0,0.1186,65
BALLENAS_CONFIRMADAS_15M,3017,1719,1298,0.5698,0.0697,1.0,0.0697,155.1434,0.0514,12.1064,-2.04,0.9851,-1.1851,0.0514,1.1009,17,14,0.0099,0.0571,0.2,0.2,0.0522,DIRECTION_ERROR,1.0,0.0697,194
GBM_LATE_60M_PYCONFIRMADO,689,393,296,0.5704,0.0702,1.0,0.0702,141.9259,0.206,10.7546,-2.04,1.3007,-1.2474,0.206,1.3844,10,7,-0.0396,0.2289,0.5,0.6,0.1584,DIRECTION_ERROR,1.0,0.0702,192
STREAK_MOM_5M,8181,4252,3929,0.5197,0.0197,1.0,0.0197,90.4713,0.0111,2.0837,-2.04,0.5359,-0.557,0.0111,1.0413,16,13,0.0092,0.0123,0.1,0.1,0.0206,DIRECTION_ERROR,1.0,0.0197,2462
LATE_WINDOW_5MIN,493,248,245,0.503,0.003,1.0,0.003,73.163,0.1484,3.9301,-2.04,1.0739,-0.7884,0.1484,1.3788,8,7,0.0198,0.1649,0.0,0.0,0.1382,DIRECTION_ERROR,1.0,0.003,104584
STREAK_FADE_15M,822,448,374,0.545,0.0449,1.0,0.0449,37.3053,0.0454,2.1705,-2.04,0.8758,-0.9493,0.0454,1.1051,13,12,-0.0253,0.0504,0.1,0.1,0.0518,DIRECTION_ERROR,1.0,0.0449,473
UPDOWN_GBM_ETH_15M_HORA7,173,92,81,0.5318,0.0314,1.0,0.0314,9.2373,0.0534,2.7158,-2.04,0.993,-1.0138,0.0534,1.1125,6,4,-0.0331,0.0593,0.3,0.3,0.0538,DIRECTION_ERROR,1.0,0.0314,969
LIQUIDACIONES_5M,2089,1041,1048,0.4983,-0.0017,1.0,-0.0017,-1.6753,-0.0008,2.1737,-1.6728,0.6027,-0.6003,-0.0008,0.9973,18,17,0.0421,-0.0009,0.1,0.1,0.0,DIRECTION_ERROR,1.0,-0.0017,342783
MOMENTUM_IBS_5M,3343,1687,1656,0.5046,0.0046,1.0,0.0046,-1.8935,-0.0006,2.0004,-2.04,0.584,-0.596,-0.0006,0.9981,12,12,-0.0234,-0.0006,1.4,1.5,0.0,DIRECTION_ERROR,1.0,0.0046,44725
FAVORITO_CONFIRMADO_60MIN_EXTREMO,640,600,40,0.9375,0.4361,1.0,0.4361,-2.6581,-0.0042,0.1822,-2.04,0.1207,-1.8773,-0.0042,0.9646,97,3,0.0391,-0.0046,0.4,0.4,0.0,DIRECTION_ERROR,1.0,0.4361,2
STREAK_FADE_60M,73,32,41,0.4384,-0.06,1.0,-0.06,-7.3895,-0.1012,1.0388,-1.3158,0.5494,-0.609,-0.1012,0.7041,7,5,-0.1132,-0.1125,0.7,0.8,0.0,DIRECTION_ERROR,1.0,-0.06,263
FAVORITO_CONFIRMADO_60MIN_ALTACONVICCION,1457,1153,304,0.7914,0.291,1.0,0.291,-10.967,-0.0075,0.8171,-2.04,0.524,-2.0236,-0.0075,0.9822,32,5,0.0545,-0.0084,0.6,0.6,0.0,DIRECTION_ERROR,1.0,0.291,8
SMART_FLOW_1H,29,6,23,0.2069,-0.2742,1.0,-0.2742,-13.8164,-0.4764,1.9391,-0.918,0.6043,-0.7583,-0.4764,0.2079,1,6,0.0,-0.5294,0.0,0.0,0.0,DIRECTION_ERROR,0.725,-0.1988,9
FAVORITO_CONFIRMADO_15MIN_EXTREMO,773,719,54,0.9301,0.429,1.0,0.429,-21.7381,-0.0281,0.1822,-2.04,0.117,-1.9601,-0.0281,0.7946,130,3,0.038,-0.0312,0.1,0.1,0.0,DIRECTION_ERROR,1.0,0.429,2
GBM_LATE_60M_FADE,369,89,280,0.2412,-0.2574,1.0,-0.2574,-25.9576,-0.0703,4.2519,-0.51,1.3128,-0.51,-0.0703,0.8182,3,12,0.0927,-0.0782,0.3,0.3,0.0,DIRECTION_ERROR,1.0,-0.2574,11
LIQUIDACIONES_60M,1076,491,585,0.4563,-0.0436,1.0,-0.0436,-26.5964,-0.0247,2.2611,-2.04,0.6355,-0.5789,-0.0247,0.9215,9,15,-0.0101,-0.0275,0.7,0.7,0.0,DIRECTION_ERROR,1.0,-0.0436,502
PRICE_TARGET_GBM_FADE,693,202,491,0.2915,-0.2079,1.0,-0.2079,-32.848,-0.0474,4.49,-2.04,1.381,-0.635,-0.0474,0.8947,5,18,0.05,-0.0527,77.7,65.3,0.0,DIRECTION_ERROR,1.0,-0.2079,19
LIQUIDACIONES_DEPTH_FASE0,1014,461,553,0.4546,-0.0453,1.0,-0.0453,-35.0337,-0.0345,1.6922,-1.071,1.2087,-1.071,-0.0346,0.9408,14,15,-0.0001,-0.0384,0.1,0.1,0.0,TIMING_CORTO,1.0,-0.0453,465
