fecha,mc_pct_bust,mc_percentil_real,mc_bankroll_final,noise_n_evaluados,noise_n_fragiles,noise_peor_key,oos_n_tuplas,oos_n_extremas,ps_n_estable,ps_n_fragil
2026-07-22,27.9,18.2,0.6343,208,25,FAVORITO_CONFIRMADO#ETH#15min,7,2,6,0
2026-07-23,32.5,20.4,0.6343,208,24,FAVORITO_CONFIRMADO,7,0,6,0
2026-07-24,40.6,25.8,0.6343,208,28,FAVORITO_CONFIRMADO,7,2,6,0
2026-07-25,39.4,24.6,0.6343,202,26,FAVORITO_CONFIRMADO#SOL#60min,8,3,6,0
2026-07-26,37.6,24.0,0.6343,203,27,GBM_LATE_15M_ESPACIO_ATR#XRP#15min,8,3,6,0
2026-07-27,48.9,31.8,0.6343,197,32,FAVORITO_CONFIRMADO,8,6,6,0
2026-07-28,53.8,33.9,0.6343,207,26,FAVORITO_CONFIRMADO#ETH#60min,3,2,6,0
2026-07-29,57.0,37.1,0.6343,211,25,FAVORITO_CONFIRMADO#ETH#60min,4,0,6,0
2026-07-30,63.4,41.7,0.6343,204,24,FAVORITO_CONFIRMADO#SOL#15min,6,2,6,0
2026-07-31,61.7,39.6,0.6343,323,41,GBM_LATE_15M#XRP#15min,6,1,,
2026-08-01,59.9,37.9,0.6343,326,39,UPDOWN_GBM_15M_TARDIO,6,3,,
2026-08-02,66.7,43.0,0.6343,323,41,FAVORITO_CONFIRMADO#ETH#60min,6,2,,
2026-08-03,64.2,41.0,0.6343,323,35,GBM_LATE_15M_ESPACIO_ATR#XRP#15min,4,3,,
2026-09-07,99.5,64.5,0.6343,1406,165,GBM_LATE_15M_ESPACIO_ATR#DOGE#15min,3,1,,
2026-09-07,99.4,63.3,0.6343,1399,168,GBM_LATE_15M_ESPACIO_ATR#DOGE#15min,3,1,,
2026-09-08,99.5,63.6,0.6343,1410,155,GBM_LATE_15M_ESPACIO_ATR#DOGE#15min,3,1,,
2026-09-09,96.8,62.9,0.6343,1410,170,FAVORITO_CONFIRMADO_60MIN_EXTREMO#BTC#60min,3,1,,
2026-09-10,97.8,63.5,0.6343,1410,158,GBM_LATE_15M_TARDIO#DOGE#15min,3,1,,
