clave,tipo,feature,direccion,n,ic,p_shuffle,sobrevive_bh_fdr
UPDOWN_GBM#5min,FILTRO,pct_spot_vs_ref,BUY_YES,28,-0.3,1.0,0
UPDOWN_GBM#5min,FILTRO,sigma_h,BUY_YES,28,-0.33333333333333337,1.0,0
UPDOWN_GBM#5min,FILTRO,pct_spot_vs_ref,BUY_NO,16,-0.16666666666666669,0.961,0
UPDOWN_GBM#5min,FILTRO,sigma_h,BUY_NO,26,-0.14285714285714285,0.9595,0
UPDOWN_GBM#15min,FILTRO,sigma_ewma_delta_pct,BUY_NO,28,-0.16666666666666669,0.984,0
UPDOWN_GBM#15min,PATRON,ibs_15,BUY_YES,319,0.2009345794392523,0.0,1
UPDOWN_GBM#15min,PATRON,dist_vwap_pct,BUY_YES,137,0.14748201438848918,0.0005,1
UPDOWN_GBM#15min,PATRON,dist_vwap_pct,BUY_YES,193,0.13589743589743586,0.0,1
UPDOWN_GBM#15min,PATRON,sigma_ewma_delta_pct,BUY_YES,52,0.12962962962962965,0.0305,1
UPDOWN_GBM#15min,PATRON,ibs_15,BUY_NO,189,0.1335078534031413,0.0,1
UPDOWN_GBM#BTC#15min,FILTRO,ibs_15,BUY_NO,17,-0.1842105263157895,0.9815,0
UPDOWN_GBM#BTC#15min,PATRON,drift_60min,BUY_YES,205,0.11835748792270528,0.0,1
UPDOWN_GBM#BTC#15min,PATRON,hora_utc,BUY_YES,167,0.1449704142011834,0.0,1
UPDOWN_GBM#BTC#15min,PATRON,ibs_15,BUY_YES,194,0.19387755102040816,0.0,1
UPDOWN_GBM#BTC#15min,PATRON,dist_vwap_pct,BUY_YES,59,0.2213114754098361,0.0005,1
UPDOWN_GBM#BTC#15min,PATRON,sigma_ewma_delta_pct,BUY_YES,75,0.14935064935064934,0.004,1
UPDOWN_GBM#BTC#15min,PATRON,sigma_h,BUY_NO,17,0.23684210526315785,0.0275,1
UPDOWN_GBM#ETH#15min,FILTRO,sigma_ewma_delta_pct,BUY_YES,22,-0.125,0.942,0
UPDOWN_GBM#ETH#15min,FILTRO,sigma_ewma_delta_pct,BUY_NO,16,-0.16666666666666669,0.954,0
UPDOWN_GBM#ETH#15min,PATRON,ibs_15,BUY_YES,99,0.20297029702970293,0.0,1
UPDOWN_GBM#ETH#15min,PATRON,dist_vwap_pct,BUY_YES,96,0.1428571428571429,0.002,1
UPDOWN_GBM#ETH#15min,PATRON,sigma_ewma_delta_pct,BUY_YES,27,0.22413793103448276,0.01,1
UPDOWN_GBM#ETH#15min,PATRON,sigma_h,BUY_NO,99,0.12376237623762376,0.004,1
UPDOWN_GBM#ETH#15min,PATRON,dist_vwap_pct,BUY_NO,20,0.18181818181818177,0.0575,1
UPDOWN_GBM#SOL#15min,FILTRO,sigma_h,BUY_YES,17,-0.1842105263157895,0.9735,0
UPDOWN_GBM#SOL#15min,FILTRO,sigma_h,BUY_YES,16,-0.16666666666666669,0.972,0
UPDOWN_GBM#SOL#15min,FILTRO,drift_60min,BUY_YES,30,-0.125,0.9465,0
