timestamp_utc,strategy,n_total,n_aciertos,hit_rate,edge_medio,pnl_total,pnl_medio,IC_simple,IC_pearson,sum_edge,sum_prob,sum_outcome,sum_prob2,sum_outcome2,sum_prob_outcome
2026-07-12T18:35:54+00:00,FAVORITO_CONFIRMADO,994,678,0.6821,0.0547,8.3631,0.0084,0.1821,0.406,54.4122,490.15,523.0,301.84365,523.0,307.46
2026-07-12T18:35:54+00:00,GBM_LATE_15M,3661,2245,0.6132,0.1088,1225.0466,0.3346,0.1132,0.3267,398.4293,1826.0687,1830.0,975.186894,1830.0,992.0787
2026-07-12T18:35:54+00:00,GBM_LATE_15M_ESPACIO_ATR,1013,673,0.6644,0.1647,584.1888,0.5767,0.1644,0.4786,166.8162,499.6265,515.0,280.597496,515.0,298.5255
2026-07-12T18:35:54+00:00,GBM_LATE_15M_MULTIHORIZONTE,6,3,0.5,0.1537,-0.0807,-0.0134,0.0,0.4398,0.9224,1.8814,2.0,0.71945,2.0,0.8099
2026-07-12T18:35:54+00:00,GBM_LATE_15M_TARDIO,1167,678,0.581,0.1223,288.231,0.247,0.081,0.345,142.7404,580.0124,583.0,315.079058,583.0,320.2661
2026-07-12T18:35:54+00:00,GBM_LATE_60M,314,121,0.3854,0.136,6.2065,0.0198,-0.1146,0.5497,42.6965,167.6272,191.0,99.474484,191.0,116.9896
2026-07-12T18:35:54+00:00,LATE_WINDOW_5MIN,35,25,0.7143,0.1901,10.3038,0.2944,0.2143,0.5385,6.655,18.9,19.0,11.55,19.0,12.1
2026-07-12T18:35:54+00:00,LEADLAG_BTC_XRP_15M,69,44,0.6377,0.0241,21.4729,0.3112,0.1377,0.3254,1.665,34.47,29.0,17.2749,29.0,14.8
2026-07-12T18:35:54+00:00,ORDER_FLOW_5M,1189,611,0.5139,0.1969,17.1428,0.0144,0.0139,-0.0006,234.1675,508.0994,521.0,274.884022,521.0,222.5623
2026-07-12T18:35:54+00:00,PRICE_TARGET_GBM,131,45,0.3435,0.1342,2.6073,0.0199,-0.1565,0.3248,17.5867,69.6591,83.0,42.784874,83.0,48.4274
2026-07-12T18:35:54+00:00,RESOLUTION_SNIPER,10,10,1.0,0.259,4.0015,0.4002,0.5,0.9912,2.5903,4.2109,4.0,3.175313,4.0,3.5026
2026-07-12T18:35:54+00:00,SMART_FLOW_1H,28,6,0.2143,0.0736,-13.3064,-0.4752,-0.2857,0.266,2.06,16.5025,6.0,10.668953,6.0,4.097
2026-07-12T18:35:54+00:00,STREAK_FADE_15M,154,96,0.6234,0.1812,24.6168,0.1598,0.1234,0.2458,27.905,77.8,81.0,45.46,81.0,44.7
2026-07-12T18:35:54+00:00,STREAK_FADE_5M,164,76,0.4634,0.0729,-9.9663,-0.0608,-0.0366,-0.0888,11.955,83.92,90.0,43.9696,90.0,45.48
2026-07-12T18:35:54+00:00,STREAK_MOM_5M,309,137,0.4434,0.0763,-23.6675,-0.0766,-0.0566,-0.1146,23.5849,152.82,152.0,77.5476,152.0,73.76
2026-07-12T18:35:54+00:00,STRUCT_NO_15M,15,3,0.2,0.044,-4.6797,-0.312,-0.3,0.0,0.66,6.45,12.0,2.7735,12.0,5.16
2026-07-12T18:35:54+00:00,UPDOWN_GBM,1251,617,0.4932,0.1259,21.7794,0.0174,-0.0068,0.1513,157.5314,710.7042,605.0,437.176977,605.0,359.1678
2026-07-12T18:35:54+00:00,UPDOWN_OU_5M,84,24,0.2857,0.0967,-18.8887,-0.2249,-0.2143,-0.5368,8.1238,43.5816,24.0,24.540449,24.0,9.3649
2026-07-12T18:35:54+00:00,WEEKLY_PRICE,197,115,0.5838,0.1024,-9.8125,-0.0498,0.0838,-0.0432,20.165,61.9665,53.0,27.867691,53.0,15.8925
