par,n,var1,var2,delta_var,mean1,mean2,delta_mean
GBM_LATE_15M_ESPACIO_ATR#SOL#15min#BUY_NO,275,1.1791,6.1022,4.9231,0.1923,0.6145,0.4221
GBM_LATE_15M_TARDIO#BTC#15min#BUY_YES,210,0.6506,4.2839,3.6333,0.1128,0.3988,0.286
GBM_LATE_15M_ESPACIO_ATR#BTC#15min#BUY_NO,266,3.3834,6.8814,3.498,0.5597,0.4008,-0.1589
GBM_LATE_15M_TARDIO#BTC#15min#BUY_NO,283,0.996,4.1033,3.1073,0.1473,0.111,-0.0363
GBM_LATE_15M_ESPACIO_ATR#ETH#15min#BUY_YES,273,2.727,5.3478,2.6207,0.4048,0.52,0.1153
UPDOWN_GBM#BNB#15min#BUY_NO,61,0.7063,3.0501,2.3437,0.0345,0.4927,0.4583
UPDOWN_GBM#XRP#15min#BUY_NO,65,1.5173,3.7196,2.2023,0.2207,0.257,0.0363
LEADLAG_BTC_XRP_15M#XRP#15min#BUY_NO,65,2.0117,3.9685,1.9568,0.5701,0.1445,-0.4256
GBM_LATE_15M#XRP#15min#BUY_NO,621,1.7948,3.5494,1.7546,0.4909,0.5187,0.0278
STREAK_FADE_15M#SOL#15min#BUY_NO,38,0.2402,1.9174,1.6772,0.0493,0.7118,0.6625
GBM_LATE_15M_TARDIO#SOL#15min#BUY_NO,273,0.4119,1.958,1.5461,0.1206,0.1873,0.0667
UPDOWN_GBM#BTC#15min#BUY_YES,265,0.7809,2.3124,1.5315,-0.1472,0.4462,0.5934
UPDOWN_GBM#ETH#15min#BUY_NO,334,2.3196,0.8835,-1.4361,0.0873,0.0854,-0.0018
GBM_LATE_15M_TARDIO#ETH#15min#BUY_YES,244,0.3727,1.7312,1.3585,0.0451,0.1184,0.0733
FAVORITO_CONFIRMADO#ETH#5min#BUY_NO,86,0.7879,2.118,1.3301,0.002,-0.2337,-0.2357
GBM_LATE_15M#BTC#15min#BUY_YES,538,0.9402,2.2065,1.2663,0.1207,0.2297,0.1089
GBM_LATE_15M#SOL#15min#BUY_NO,635,3.1571,4.4019,1.2449,0.6844,0.2938,-0.3906
GBM_LATE_15M#ETH#15min#BUY_NO,637,0.3971,1.5694,1.1723,0.0976,0.174,0.0764
GBM_LATE_15M#BTC#15min#BUY_NO,611,0.3643,1.5357,1.1714,0.0562,0.1718,0.1156
GBM_LATE_15M_TARDIO#SOL#15min#BUY_YES,204,0.3594,1.482,1.1227,0.0492,0.4796,0.4304
GBM_LATE_15M_ESPACIO_ATR#ETH#15min#BUY_NO,266,3.6316,4.697,1.0654,0.4278,0.5691,0.1413
