market_id,subtype,outcome_real,n_wallets_sospechosas_activas,wallets_vistas,resultado_nuestro
2766166,SOL#15min,NO,2,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,PERDIDA
2766640,SOL#15min,NO,3,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0xb798fd5d803d52a15b2708d24b54c4216fe237ca;0xcb5c1844d9a5b39d3747ca92af659491fb036b2b,PERDIDA
2768664,SOL#15min,YES,0,,GANANCIA
2768693,SOL#15min,NO,0,,PERDIDA
2768880,SOL#15min,NO,4,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0x3deac23f85896126e9fc8134247a643092087b7b;0xcb5c1844d9a5b39d3747ca92af659491fb036b2b;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,PERDIDA
2769186,SOL#15min,NO,3,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0xb798fd5d803d52a15b2708d24b54c4216fe237ca;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,PERDIDA
2798754,SOL#15min,YES,0,,GANANCIA
2799021,SOL#15min,YES,1,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d,GANANCIA
2803824,SOL#15min,YES,1,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d,GANANCIA
2804313,ETH#15min,YES,0,,GANANCIA
2804680,SOL#15min,YES,0,,GANANCIA
2806882,SOL#15min,NO,4,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0x3deac23f85896126e9fc8134247a643092087b7b;0xcb5c1844d9a5b39d3747ca92af659491fb036b2b;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,PERDIDA
2806911,SOL#15min,NO,0,,PERDIDA
2807011,ETH#15min,YES,0,,GANANCIA
2807052,SOL#15min,NO,0,,PERDIDA
2807295,SOL#15min,YES,0,,GANANCIA
2807386,ETH#15min,YES,1,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d,GANANCIA
2808307,SOL#15min,YES,2,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,GANANCIA
2808312,ETH#15min,YES,0,,GANANCIA
2808348,ETH#15min,NO,0,,PERDIDA
2808584,ETH#15min,NO,0,,PERDIDA
2808623,ETH#15min,YES,1,0xce25e214d5cfe4f459cf67f08df581885aae7fdc,GANANCIA
2808657,SOL#15min,YES,1,0xce25e214d5cfe4f459cf67f08df581885aae7fdc,GANANCIA
2810168,SOL#15min,NO,3,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0x3deac23f85896126e9fc8134247a643092087b7b;0xcb5c1844d9a5b39d3747ca92af659491fb036b2b,PERDIDA
2811193,SOL#15min,NO,4,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0x3deac23f85896126e9fc8134247a643092087b7b;0xcb5c1844d9a5b39d3747ca92af659491fb036b2b;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,PERDIDA
2811289,ETH#15min,NO,3,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0x3deac23f85896126e9fc8134247a643092087b7b;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,PERDIDA
2814760,SOL#15min,YES,1,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d,GANANCIA
2815288,ETH#15min,NO,0,,PERDIDA
2816978,SOL#15min,NO,5,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0x3deac23f85896126e9fc8134247a643092087b7b;0xb798fd5d803d52a15b2708d24b54c4216fe237ca;0xcb5c1844d9a5b39d3747ca92af659491fb036b2b;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,PERDIDA
2817047,ETH#15min,YES,0,,GANANCIA
2817042,SOL#15min,YES,1,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d,GANANCIA
2817322,SOL#15min,NO,2,0x3deac23f85896126e9fc8134247a643092087b7b;0xcb5c1844d9a5b39d3747ca92af659491fb036b2b,PERDIDA
2817629,SOL#15min,YES,2,0xcb5c1844d9a5b39d3747ca92af659491fb036b2b;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,GANANCIA
2817797,ETH#15min,NO,2,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,PERDIDA
2817941,SOL#15min,YES,0,,GANANCIA
2819137,ETH#15min,NO,0,,PERDIDA
2819181,ETH#15min,YES,0,,GANANCIA
2819233,SOL#15min,YES,0,,GANANCIA
2819234,ETH#15min,YES,0,,GANANCIA
2819392,ETH#15min,NO,0,,PERDIDA
2820242,ETH#15min,YES,0,,GANANCIA
2820489,ETH#15min,YES,0,,GANANCIA
2820496,SOL#15min,NO,1,0xce25e214d5cfe4f459cf67f08df581885aae7fdc,PERDIDA
2820739,SOL#15min,YES,2,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0xb798fd5d803d52a15b2708d24b54c4216fe237ca,GANANCIA
2820864,ETH#15min,NO,2,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,PERDIDA
2821203,SOL#15min,NO,2,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,PERDIDA
2824229,ETH#15min,YES,2,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,GANANCIA
2828201,ETH#15min,YES,0,,GANANCIA
