timestamp_utc,trade_timestamp,wallet,tipo,edge_pp_validado,n_validado,activo,marco,mirror_lado,market_slug,lag_ws_ms,lag_deteccion_a_decision_ms,ratio_deteccion,ask_deteccion,ratio_decision,ask_decision,degradacion_ask_pct,sigue_fillable_en_decision,stake_dryrun_eur,tupla_sintetica,en_whitelist_real,puede_operar_ventana,usd_trade,size_mediana_wallet,ratio_vs_mediana_propia,es_jugada_grande
2026-08-03T20:59:28.090+00:00,2026-08-03T20:59:27.000+00:00,0xb1feb9fe351c9e5fbc372c6a49b7fe5bdd9608d2,SEGUIR,4.686,1120,BTC,5min,Up,btc-updown-5m-1785790500,1090.8,243.36,6356.5,0.19,6329.5,0.2,5.263,1,1.05,WALLET_MIRROR#BTC#5min#BUY_Up,0,False,2.0,2.5,0.8,0
2026-08-03T20:59:28.429+00:00,2026-08-03T20:59:28.000+00:00,0x4dab9e8cc5b2bb970de6243e501a0611d7886d0e,SEGUIR,11.741,236,BTC,5min,Down,btc-updown-5m-1785790500,429.8,249.98,0.0,0.82,0.0,0.82,0.0,0,1.29,WALLET_MIRROR#BTC#5min#BUY_Down,0,False,1.309998,6.81,0.19,0
2026-08-03T20:59:30.737+00:00,2026-08-03T20:59:30.000+00:00,0x6a7eca51a61b15eaef6c3c5b56b09259b37ccfcc,SEGUIR,25.028,44,BTC,5min,Down,btc-updown-5m-1785790500,737.6,244.04,99.9,0.84,8.7,0.84,0.0,1,2.0,WALLET_MIRROR#BTC#5min#BUY_Down,0,False,15.228000000000002,3.06,4.98,1
2026-08-03T20:59:30.984+00:00,2026-08-03T20:59:30.000+00:00,0x8cec765e6d34e4a0bd6822c642b7514f2d9300e3,SEGUIR,17.897,102,BTC,5min,Down,btc-updown-5m-1785790500,984.4,234.47,115.4,0.86,134.6,0.85,-1.163,1,1.97,WALLET_MIRROR#BTC#5min#BUY_Down,0,False,1.1643999999999999,3.41,0.34,0
2026-08-03T20:59:32.013+00:00,2026-08-03T20:59:31.000+00:00,0xcbedda30b5f1b6f97e81821b35e83436717a2de7,SEGUIR,15.324,139,BTC,5min,Down,btc-updown-5m-1785790500,1013.3,244.95,218.2,0.85,117.4,0.85,0.0,1,1.69,WALLET_MIRROR#BTC#5min#BUY_Down,0,False,16.399997,4.75,3.45,1
2026-08-03T20:59:33.818+00:00,2026-08-03T20:59:33.000+00:00,0x25d9b50e33e1d0cc427a45b68e76c0f928292162,SEGUIR,9.919,193,BTC,5min,Up,btc-updown-5m-1785790500,818.4,241.63,0.0,0.15,0.0,0.15,0.0,0,1.09,WALLET_MIRROR#BTC#5min#BUY_Up,0,False,1.12,6.3,0.18,0
2026-08-03T20:59:45.286+00:00,2026-08-03T20:59:45.000+00:00,0x1d2935bbceef7ee7e02adcc1a9292ed2c3005b60,SEGUIR,10.031,224,BTC,5min,Down,btc-updown-5m-1785790500,286.5,257.12,13.4,0.81,10.1,0.81,0.0,1,1.11,WALLET_MIRROR#BTC#5min#BUY_Down,0,False,6.559997999999999,2.18,3.01,1
2026-08-03T21:00:01.604+00:00,2026-08-03T21:00:01.000+00:00,0x97e1678857baa09aeeec1ac7c0a4e732ab836825,SEGUIR,22.23,46,BTC,5min,Down,btc-updown-5m-1785790500,604.7,435.58,24440.3,0.01,24448.1,0.01,0.0,1,2.0,WALLET_MIRROR#BTC#5min#BUY_Down,0,False,3.25,4.01,0.81,0
2026-08-03T21:00:03.013+00:00,2026-08-03T21:00:02.000+00:00,0xdaee998426ebc81d0a15d7c13b2bdddaf8e18559,SEGUIR,10.732,224,BTC,5min,Up,btc-updown-5m-1785790500,1013.1,489.61,0.0,,0.0,,,0,1.18,WALLET_MIRROR#BTC#5min#BUY_Up,0,False,4.0,4.41,0.91,0
2026-08-03T21:00:03.774+00:00,2026-08-03T21:00:03.000+00:00,0x8856e15c9bbdd939cb98e2776f725f502aaef6ad,SEGUIR,12.402,2493,BTC,5min,Down,btc-updown-5m-1785790500,775.0,440.41,9078.6,0.01,9078.5,0.01,0.0,1,1.37,WALLET_MIRROR#BTC#5min#BUY_Down,0,False,1.0,1.0,1.0,0
