timestamp_utc,trade_timestamp,wallet,tipo,edge_pp_validado,n_validado,activo,marco,mirror_lado,market_slug,lag_ws_ms,lag_deteccion_a_decision_ms,ratio_deteccion,ask_deteccion,ratio_decision,ask_decision,degradacion_ask_pct,sigue_fillable_en_decision,stake_dryrun_eur,tupla_sintetica,en_whitelist_real,puede_operar_ventana
2026-08-03T20:21:18.308+00:00,2026-08-03T20:21:18.000+00:00,0x03f6b895c8b932fbf70b9fde28b8b2bb3024714c,SEGUIR,4.705,2560,BTC,60min,Up,bitcoin-up-or-down-august-3-2026-4pm-et,308.5,240.68,2344.5,0.81,2344.5,0.81,0.0,1,1.05,WALLET_MIRROR#BTC#60min#BUY_Up,0,False
2026-08-03T20:21:20.336+00:00,2026-08-03T20:21:20.000+00:00,0x03f6b895c8b932fbf70b9fde28b8b2bb3024714c,SEGUIR,3.06,1525,ETH,60min,Up,ethereum-up-or-down-august-3-2026-4pm-et,336.2,315.66,528.3,0.85,528.3,0.85,0.0,1,1.05,WALLET_MIRROR#ETH#60min#BUY_Up,0,False
2026-08-03T20:21:29.117+00:00,2026-08-03T20:21:28.000+00:00,0xd912131221d75b624963c928fa5bfd284c4775c3,SEGUIR,17.252,453,BTC,5min,Down,btc-updown-5m-1785788400,1117.7,238.19,1058.2,0.26,1004.2,0.26,0.0,1,1.9,WALLET_MIRROR#BTC#5min#BUY_Down,0,False
2026-08-03T20:21:30.083+00:00,2026-08-03T20:21:29.000+00:00,0x1b2e5156f2651cf2375cdcd5b35ccde97706e590,SEGUIR,9.718,219,BNB,15min,Down,bnb-updown-15m-1785788100,1083.1,201.1,0.0,0.24,0.0,0.24,0.0,0,1.07,WALLET_MIRROR#BNB#15min#BUY_Down,0,False
2026-08-03T20:21:32.030+00:00,2026-08-03T20:21:31.000+00:00,0x95f51617e900f7d4df2894d77a73c1b2b269779f,SEGUIR,24.032,73,BTC,5min,Up,btc-updown-5m-1785788400,1030.7,269.62,1120.4,0.73,1077.9,0.73,0.0,1,2.0,WALLET_MIRROR#BTC#5min#BUY_Up,0,False
2026-08-03T20:22:03.492+00:00,2026-08-03T20:22:03.000+00:00,0x336b234db9d830973a4b78dc50aaee7c070e2126,SEGUIR,7.153,268,ETH,60min,Up,ethereum-up-or-down-august-3-2026-4pm-et,492.8,245.91,519.0,0.87,519.0,0.87,0.0,1,1.05,WALLET_MIRROR#ETH#60min#BUY_Up,0,False
2026-08-03T20:22:07.946+00:00,2026-08-03T20:22:07.000+00:00,0xce25e214d5cfe4f459cf67f08df581885aae7fdc,SEGUIR,1.762,13844,BTC,15min,Down,btc-updown-15m-1785788100,946.8,313.56,0.0,0.09,0.0,0.09,0.0,0,1.05,WALLET_MIRROR#BTC#15min#BUY_Down,0,False
2026-08-03T20:22:23.974+00:00,2026-08-03T20:22:23.000+00:00,0x7e5d2991c2647de2348287e2f499329fc6a6c4c3,SEGUIR,3.289,4309,BTC,15min,Down,btc-updown-15m-1785788100,974.2,255.35,0.0,0.07,0.0,0.07,0.0,0,1.05,WALLET_MIRROR#BTC#15min#BUY_Down,0,False
2026-08-03T20:22:24.231+00:00,2026-08-03T20:22:23.000+00:00,0x9412cdfc1e3171e1aabb013d0f494986445d0cd0,SEGUIR,5.037,1610,BTC,15min,Down,btc-updown-15m-1785788100,1231.4,224.27,23.3,0.07,23.8,0.07,0.0,1,1.05,WALLET_MIRROR#BTC#15min#BUY_Down,0,False
2026-08-03T20:22:39.406+00:00,2026-08-03T20:22:39.000+00:00,0xce25e214d5cfe4f459cf67f08df581885aae7fdc,SEGUIR,3.327,2791,XRP,15min,Down,xrp-updown-15m-1785788100,406.4,220.2,0.0,0.26,0.0,0.26,0.0,0,1.05,WALLET_MIRROR#XRP#15min#BUY_Down,0,False
