timestamp_utc,ws_timestamp,condition_id,event_slug,market_slug,title,categoria,wallet,pseudonym,outcome,outcome_index,side,price,size,usd_value,transaction_hash
2026-08-18T11:49:32.348+00:00,1787053772,0xa4ecea9aaf2e4bdf224efd7f17188ee123e947127d644b971a04f2bc230662f0,cs2-fazeun-rt1-2026-08-18,cs2-fazeun-rt1-2026-08-18,Counter-Strike: FaZe Up Next vs ReThink (BO3) - United21 Group B,CS,0x47138Dc1eeF25f1EA91f3b2FDA0e0f455C634d21,Overjoyed-Limo,FaZe Up Next,0,BUY,0.21,6.0,1.26,0x3e9d4eb6200a8b197ec756e55ace8f4014ce7bdaeefe12361a8b0780619292b7
2026-08-18T11:49:32.367+00:00,1787053772,0xe8065408735429d074647f028e63fa0361e5a5ac88aed03c6a2b86c00d50af6d,asean-tha-sin-2026-08-18,asean-tha-sin-2026-08-18-tha,Will Thailand win on 2026-08-18?,Soccer-asean,0xEDA9DA7fE9A6992128F5008DdbD7156cef74F624,Sneaky-Addiction,Yes,0,BUY,0.68,13.33,9.0644,0x9f6691620ce125aaac43432058af4f85a13f09791718a47ea901025e82330e06
2026-08-18T11:49:32.381+00:00,1787053772,0xe8065408735429d074647f028e63fa0361e5a5ac88aed03c6a2b86c00d50af6d,asean-tha-sin-2026-08-18,asean-tha-sin-2026-08-18-tha,Will Thailand win on 2026-08-18?,Soccer-asean,0xcF7379B4b891c06d88807f6f70efa75378120215,Sophisticated-Bicycle,Yes,0,BUY,0.68,3.93,2.6724,0x9f6691620ce125aaac43432058af4f85a13f09791718a47ea901025e82330e06
2026-08-18T11:49:32.381+00:00,1787053772,0xe8065408735429d074647f028e63fa0361e5a5ac88aed03c6a2b86c00d50af6d,asean-tha-sin-2026-08-18,asean-tha-sin-2026-08-18-tha,Will Thailand win on 2026-08-18?,Soccer-asean,0x23c3141fe1946458B2f1bAaF76b3378e400129f6,Far-Flung-Saving,No,1,BUY,0.32,24.0,7.68,0x9f6691620ce125aaac43432058af4f85a13f09791718a47ea901025e82330e06
2026-08-18T11:49:32.387+00:00,1787053772,0xe8065408735429d074647f028e63fa0361e5a5ac88aed03c6a2b86c00d50af6d,asean-tha-sin-2026-08-18,asean-tha-sin-2026-08-18-tha,Will Thailand win on 2026-08-18?,Soccer-asean,0xb2dA92D3584C60037dc9cC8942a9F9677bbCce6A,Pleasing-Choice,Yes,0,BUY,0.68,6.74,4.5832,0x9f6691620ce125aaac43432058af4f85a13f09791718a47ea901025e82330e06
2026-08-18T11:49:32.464+00:00,1787053772,0xa4ecea9aaf2e4bdf224efd7f17188ee123e947127d644b971a04f2bc230662f0,cs2-fazeun-rt1-2026-08-18,cs2-fazeun-rt1-2026-08-18,Counter-Strike: FaZe Up Next vs ReThink (BO3) - United21 Group B,CS,0xd2bB94594762BeDa042E596598800D83F781Bd8E,Prudent-Character,ReThink,1,BUY,0.79,6.0,4.74,0x3e9d4eb6200a8b197ec756e55ace8f4014ce7bdaeefe12361a8b0780619292b7
2026-08-18T11:49:35.101+00:00,1787053775,0x7f322e2b458cb8fd3d0632d0c7b00de020f04f8a6b38b394b46d70bd9ba39477,itf-senn-aerne-2026-08-18,itf-senn-aerne-2026-08-18,ITF M25 Ueberlingen Men: Nicola Senn vs Laurin Aerne,Tennis,0x16998eEcdf746880f1c520824cc4663d0E3439ef,Well-Informed-Transformation-Overshoot,Laurin Aerne,1,BUY,0.003,6.66,0.02,0x993d1a04dbd63d14fa9dbad752c395682705081b83bb1a8c419385418a80e6dc
2026-08-18T11:49:35.139+00:00,1787053775,0x4d850d913db1b52e40f463a3cf146214fde664569855d81988c96847dc2c28ea,chi-sgr-bgu-2026-07-11,chi-sgr-bgu-2026-07-11-sgr,Will Shanghai Shenhua FC win on 2026-07-11?,Soccer-chi,0xb9f8002ED078BC82C09a3204b45d187016970108,Mild-Culture-Mask,No,1,BUY,0.5100000196000031,10.20408,5.2041,0x79dc6c23bf7e8d4a5cb2edcfb222077de24cf9436d062f422abbdc4bff7ad549
2026-08-18T11:49:35.151+00:00,1787053775,0x7f322e2b458cb8fd3d0632d0c7b00de020f04f8a6b38b394b46d70bd9ba39477,itf-senn-aerne-2026-08-18,itf-senn-aerne-2026-08-18,ITF M25 Ueberlingen Men: Nicola Senn vs Laurin Aerne,Tennis,0x84aB274c3E1480EBd6e4d5294C2Dc2E099491839,Unripe-Velvet-Transformation,Laurin Aerne,1,BUY,0.001,10.0,0.01,0x993d1a04dbd63d14fa9dbad752c395682705081b83bb1a8c419385418a80e6dc
2026-08-18T11:49:35.151+00:00,1787053775,0x7f322e2b458cb8fd3d0632d0c7b00de020f04f8a6b38b394b46d70bd9ba39477,itf-senn-aerne-2026-08-18,itf-senn-aerne-2026-08-18,ITF M25 Ueberlingen Men: Nicola Senn vs Laurin Aerne,Tennis,0x16998eEcdf746880f1c520824cc4663d0E3439ef,Well-Informed-Transformation-Overshoot,Laurin Aerne,1,BUY,0.002,10.0,0.02,0x993d1a04dbd63d14fa9dbad752c395682705081b83bb1a8c419385418a80e6dc
