date,ts,sports_implicado_wallet,sports_modelo,tracking_error,delta_dia,alerta
2026-08-27,2026-08-27T15:37:19Z,7.5452,5.0000,2.5452,,0
2026-08-28,2026-08-28T07:40:32Z,7.5452,5.0000,2.5452,-0.0000,0
2026-08-29,2026-08-29T05:52:01Z,7.5451,5.0000,2.5451,-0.0001,0
2026-08-30,2026-08-30T05:52:01Z,7.5451,5.0000,2.5451,0.0000,0
2026-08-31,2026-08-31T05:52:01Z,7.5452,5.0000,2.5452,0.0001,0
2026-09-01,2026-09-01T07:02:54Z,7.5151,5.0000,2.5151,-0.0301,0
2026-09-02,2026-09-02T05:52:01Z,5.3563,2.9000,2.4563,-0.0588,0
2026-09-03,2026-09-03T05:52:01Z,5.2763,2.9000,2.3763,-0.0800,0
2026-09-04,2026-09-04T05:52:02Z,4.2156,1.8500,2.3656,-0.0107,0
2026-09-05,2026-09-05T05:52:01Z,4.1281,1.8500,2.2781,-0.0875,0
2026-09-06,2026-09-06T05:52:01Z,5.3640,2.9875,2.3765,0.0984,0
